CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
10211,AMST,420,A,Senior Research Seminar,4,W Register,M,1300,1530,,NA,NA,Walsh-Ellett Hall 302,20,8,Available: 12,Writing Intensive; Open only to students pursuing majors in American studies,NA
10581,ANTH,307,A,The Archaeology of Southeastern United States,4,M McCollough,W,1530,1830,,NA,NA,Woods Laboratories 301,15,3,Available: 12,Prerequisite: ANTH 106; Instructor permission required,NA
10277,EDUC,279,A,History of American Education,4,W Register,TR,930,1045,,NA,NA,St. Luke's 100,15,22,Closed,Instructor permission required,NA
10306,ENGL,377,A,American Literature I,4,J Grammer,MWF,1100,1150,,NA,NA,St. Luke's 214,30,30,Closed,,NA
10308,ENGL,391,A,Modern American Poetry,4,B Clarkson,MWF,900,950,,NA,NA,St. Luke's 204,25,16,Available: 9,,NA
10309,ENGL,393,A,Faulkner,4,T Carlson,W,1400,1630,,NA,NA,duPont Library 215,15,12,Available: 3,Writing Intensive,NA
10360,HIST,201,A,History of the United States I,4,C Israel,MWF,1100,1150,,NA,NA,Woods Laboratories 230,25,27,Closed,Waitlist - contact instructor,NA
10365,HIST,231,A,African-American History to 1865,4,H Roberson,MW,1100,1215,,NA,NA,Walsh-Ellett Hall 208,20,21,Closed,,NA
10368,HIST,279,A,History of American Education,4,W Register,TR,930,1045,,NA,NA,St. Luke's 100,15,22,Closed,,NA
10373,HIST,318,A,African American Women and Religion,4,H Roberson,T,1400,1630,,NA,NA,Walsh-Ellett Hall 312,15,9,Available: 6,Writing Intensive,NA
10374,HIST,322,A,Southern Lives,4,J Willis,TR,1100,1215,,NA,NA,Walsh-Ellett Hall 204,15,14,Available: 1,Writing Intensive; Waitlist - contact instructor,NA
10382,HIST,393,A,America's Civil War,4,J Willis,TR,1400,1515,,NA,NA,Walsh-Ellett Hall 302,15,15,Closed,Waitlist - contact instructor,NA
10507,POLS,304,A,American Political Thought,4,G McKeen,MWF,1400,1450,,NA,NA,Walsh-Ellett Hall 208,25,17,Available: 8,,NA
10508,POLS,331,A,Introduction to Constitutional Law,4,R Pearigen,TR,930,1045,,NA,NA,Guerry Hall 205,25,25,Closed,,NA
