CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,NA,,,NA,NA,,NA,NA,,NA,NA,,,
35413,AMST,333,A,Junior Seminar,4,W Register,M,1400,1630,,NA,NA,Archives & Special Collections 201,15,8,Available: 7,Open only to students pursuing majors in American studies; Consent of professor required for late entry,
35465,ARTH,340,A,American Art,4,M Brennecke,TR,930,1045,,NA,NA,Carnegie Hall 306,18,18,Closed,Prerequisites: ARTH 104 or HUMN 202; Consent of professor required for late entry,
35801,EDUC,279,A,History of American Education,4,H Fontaine,TR,1100,1215,,NA,NA,Carnegie Hall 013,18,20,Closed,Community Engagement; Consent of professor required for late entry,
35818,EDUC,375,A,African Americans and Latino Education,4,H Fontaine,R,1330,1630,,NA,NA,Carnegie Hall 013,15,6,Available: 9,Writing Intensive; Community Engagement; Prerequisites: One course in education or American studies; Consent of professor required for late entry,
35529,ENGL,378,A,American Literature II,4,E Grammer,TR,1330,1445,,NA,NA,Gailor Hall 110,20,22,Closed,Prerequisites: ENGL 101 or HUMN 101; Consent of professor required for late entry,
35530,ENGL,379,A,The American Novel,4,J Grammer,MWF,900,950,,NA,NA,Gailor Hall 130,20,20,Closed,Prerequisites: ENGL 101 or HUMN 101; Consent of professor required for late entry,
35533,ENGL,394,A,Literature of the American South,4,J Grammer,MWF,1100,1150,,NA,NA,Gailor Hall 130,20,20,Closed,Prerequisites: ENGL 101 or HUMN 101; Consent of professor required for late entry,
35534,ENGL,397,A,Contemporary American Fiction,4,T Carlson,W,1400,1630,,NA,NA,duPont Library 215,15,13,Available: 2,Writing Intensive; Prerequisites: ENGL 101 or HUMN 101; Consent of professor required for late entry,
35535,ENGL,398,A,Contemporary American Poetry,4,W Prunty,M,1400,1630,,NA,NA,Gailor Hall 114,20,18,Available: 2,Prerequisites: ENGL 101 or HUMN 101; Consent of professor required for late entry,
35563,HIST,202,A,History of the United States II,4,W Register,MWF,1100,1150,,NA,NA,Walsh-Ellett Hall 304,25,27,Closed,Reserved Seats: juniors-5 (none available), sophomores-20 (3 available); Consent of professor required for late entry,
35832,HIST,231,A,African-American History to 1865,4,H Roberson,MW,1430,1545,,NA,NA,Walsh-Ellett Hall 202,25,16,Available: 9,Consent of professor required for late entry,
35570,HIST,238,A,Women in U.S. History, 1870 to the Present,4,J Berebitsky,TR,930,1045,,NA,NA,Walsh-Ellett Hall 202,20,21,Closed,Consent of professor required for late entry,
35833,HIST,317,A,African-American Intellectual History,4,H Roberson,T,1330,1600,,NA,NA,Walsh-Ellett Hall 204,15,9,Available: 6,Prerequisites: HIST 100 or (HUMN 101 and HUMN 102); Consent of professor required for late entry,
35576,HIST,339,A,The Making of Modern America, 1877-1920,4,W Register,R,1400,1630,,NA,NA,Walsh-Ellett Hall 204,15,14,Available: 1,Prerequisites: HIST 100 or (HUMN 101 and HUMN 102); Consent of professor required for late entry,
35585,HIST,493,A,The Civil War and American Historical Memory,4,J McCardell,T,1830,2045,,NA,NA,Walsh-Ellett Hall 204,15,14,Available: 1,Open only to juniors and seniors; Consent of professor required for late entry,
35646,PHIL,311,A,American Philosophy,4,B Garland,TR,930,1045,,NA,NA,Walsh-Ellett Hall 312,18,4,Available: 14,Prerequisites: One course in philosophy at the 100- or 200-level (excluding PHIL 201); Consent of professor required for late entry,
