CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,
11594,AMST,420,A,Senior Research Seminar,4,W Register,F,1400,1630,,NA,NA,Walsh-Ellett Hall 202,12,8,Available: 4,GMWI: Upper-Level (Major) Writing Intensive; Open only to students pursuing majors in American studies; Consent of professor required for late entry,
11879,ANTH,301,A,American Culture,4,R O'Connor,TR,930,1045,,NA,NA,Woods Laboratories 342,18,15,Available: 3,Consent of professor required for late entry,
11657,ENGL,212,A,Studies in Literature: Race and Slavery in the American Literary Imagination,4,E Grammer,MWF,900,950,,NA,NA,Gailor Hall 019,15,14,Available: 1,Reserved Seats: new first-year students-5 (none available); Prerequisites: One course with attribute G1 including AP or IB credit; Consent of professor required for late entry,GFWI: Foundational Writing Intensive
11659,ENGL,377,A,American Literature I,4,E Grammer,MWF,1200,1250,,NA,NA,Gailor Hall 130,22,21,Available: 1,Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
11669,ENGL,379,A,The American Novel,4,J Grammer,TR,1330,1445,,NA,NA,Gailor Hall 202,22,11,Available: 11,Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
11671,ENGL,393,A,Faulkner,4,T Carlson,W,1400,1630,,NA,NA,duPont Library 215,15,7,Available: 8,GMWI: Upper-Level (Major) Writing Intensive; Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
11621,HIST,201,A,History of the United States I,4,J Willis,MWF,1100,1150,,NA,NA,Walsh-Ellett Hall 202,25,25,Closed // Waitlist: 0,Reserved Seats: new first-year students-1 (none available); Prerequisites: One course with attribute G4 including AP or IB credit; Consent of professor required for late entry,G4: Exploring Past and Present
11627,HIST,232,A,African-American History since 1865,4,E Senefeld,TR,1100,1215,,NA,NA,Walsh-Ellett Hall 208,25,23,Available: 2,Reserved Seats: new first-year students-2 (none available); Prerequisites: One course with attribute G4 including AP or IB credit; Consent of professor required for late entry,G4: Exploring Past and Present
11628,HIST,238,A,Women in U.S. History, 1870 to the Present,4,J Berebitsky,MW,1400,1515,,NA,NA,Walsh-Ellett Hall 210,25,16,Available: 9,Reserved Seats: new first-year students-2 (none available); Prerequisites: One course with attribute G4 including AP or IB credit; Consent of professor required for late entry,G4: Exploring Past and Present
11631,HIST,330,A,History of Southern Appalachia,4,J Willis,TR,1100,1215,M,1400,1700,Walsh-Ellett Hall 204,16,15,Available: 1,Prerequisites: One course with attribute G4 including AP or IB credit; Consent of professor required for late entry,
12008,HIST,336,A,Hours of Crisis in U.S. History,4,J Meacham,M,1300,1530,,NA,NA,Walsh-Ellett Hall 308,20,20,Closed,Prerequisites: One course in history with attribute G4 including AP or IB credit; Consent of professor required for late entry,
11633,HIST,347,A,The American Civil Rights Movement,4,S Harrison,M,1300,1530,,NA,NA,Walsh-Ellett Hall 208,1,12,Closed,Prerequisites: One course with attribute G4 including AP or IB credit; Consent of professor required for late entry,
11600,POLS,204,A,Legislative Process,4,A Hatcher,TR,1330,1445,,NA,NA,Walsh-Ellett Hall 210,25,22,Available: 3,Reserved Seats: new first-year students-4 (none available); Consent of professor required for late entry,G4: Exploring Past and Present
11604,POLS,223,A,Public Policy,4,J Hopper,TR,800,915,,NA,NA,Walsh-Ellett Hall 202,25,24,Available: 1,Reserved Seats: new first-year students-5 (none available); Consent of professor required for late entry,G4: Exploring Past and Present
11956,POLS,322,A,United States Foreign Policy,4,J Mecellem,MW,1400,1515,,NA,NA,Woods Laboratories 121,20,19,Available: 1,Consent of professor required for late entry,
