CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,
25527,AMST,333,A,Junior Seminar,4,W Register,T,1500,1730,,NA,NA,Walsh-Ellett Hall 204,15,11,Available: 4,Waitlist - contact instructor,
25828,EDUC,279,A,History of American Education,4,W Register,MWF,900,950,,NA,NA,Walsh-Ellett Hall 306,25,26,Closed,Waitlist - contact instructor,
25561,ENGL,378,A,American Literature II,4,E Grammer,TR,1330,1445,,NA,NA,Gailor Hall 110,20,23,Closed,Prerequisites: ENGL 101 or HUMN 101,
25564,ENGL,394,A,Literature of the American South,4,J Grammer,MWF,1100,1150,,NA,NA,Gailor Hall 130,20,24,Closed,Prerequisites: ENGL 101 or HUMN 101,
25565,ENGL,397,A,Contemporary American Fiction,4,T Carlson,W,1400,1630,,NA,NA,duPont Library 215,9,8,Available: 1,Writing Intensive; Prerequisites: ENGL 101 or HUMN 101,
25596,HIST,202,A,History of the United States II,4,B Walker,TR,1100,1215,,NA,NA,Walsh-Ellett Hall 304,25,27,Closed,Waitlist - contact instructor,
25767,HIST,238,A,Women in U.S. History, 1870 to the Present,4,J Berebitsky,TR,930,1045,,NA,NA,Walsh-Ellett Hall 202,21,21,Closed,,
25827,HIST,279,A,History of American Education,4,W Register,MWF,900,950,,NA,NA,Walsh-Ellett Hall 306,25,26,Closed,Waitlist - contact instructor,
25813,HIST,322,A,Southern Lives,4,J Willis,MW,1430,1545,,NA,NA,Walsh-Ellett Hall 204,15,13,Available: 2,Prerequisites: HIST 100 or (HUMN 101 and HUMN 102); Waitlist - contact instructor,
25604,HIST,324,A,Colonial and Imperial Warfare in North America and Southern Africa,4,R Levine,M,1400,1630,,NA,NA,Walsh-Ellett Hall 312,15,15,Closed,Prerequisites: HIST 100 or (HUMN 101 and HUMN 102),
25606,HIST,339,A,The Making of Modern America, 1877-1920,4,W Register,R,1330,1600,,NA,NA,Walsh-Ellett Hall 312,15,13,Available: 2,Prerequisites: HIST 100 or (HUMN 101 and HUMN 102); Waitlist - contact instructor,
25814,HIST,493,A,The Civil War and American Historical Memory,4,J McCardell,T,1830,2045,,NA,NA,Walsh-Ellett Hall 204,22,21,Available: 1,Open only to juniors and seniors; Waitlist - contact instructor,
25773,POLS,373,A,African-American Political Thought,4,G McKeen,MW,1300,1415,,NA,NA,Walsh-Ellett Hall 306,25,12,Available: 13,Open only to sophomores, juniors, and seniors,
25388,WMST,100,A,Introduction to Women's Studies,4,J Berebitsky,TR,1330,1445,,NA,NA,Walsh-Ellett Hall 202,18,18,Closed,Open only to freshmen, sophomores, and juniors,
Anthropology,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,
25505,ANTH,104,A,Introductory Cultural Anthropology,4,D Murdock,MWF,800,850,,NA,NA,Woods Laboratories 342,24,25,Closed,,
25506,ANTH,104,B,Introductory Cultural Anthropology,4,D Jones,TR,1100,1215,,NA,NA,Woods Laboratories 342,24,25,Closed,,
25821,ANTH,104,C,Introductory Cultural Anthropology,4,D Jones,TR,1330,1445,,NA,NA,Woods Laboratories 342,24,24,Closed,,
25507,ANTH,305,A,Cultures of Latin America,4,D Murdock,MWF,1000,1050,,NA,NA,Woods Laboratories 342,16,23,Closed,Prerequisite: ANTH 104,
25822,ANTH,355,A,The Anthropology of Business,4,D Jones,W,1300,1530,,NA,NA,Woods Laboratories 342,16,21,Closed,Reserved Seats: students pursuing majors in anthropology-12 (11 available),
25509,ANTH,391,A,Junior Tutorial,4,R O'Connor,T,1330,1600,,NA,NA,TBA,8,8,Closed,Writing Intensive; Open only to students pursuing majors in anthropology; Prerequisite: ANTH 104; Instructor permission required,
25823,ANTH,391,B,Junior Tutorial,4,R O'Connor,W,1300,1530,,NA,NA,TBA,8,7,Available: 1,Writing Intensive; Open only to students pursuing majors in anthropology; Prerequisite: ANTH 104; Instructor permission required,
25510,ANTH,403,A,Social Theory,4,D Murdock,M,1300,1530,,NA,NA,Woods Laboratories 342,16,13,Available: 3,,
25885,ANTH,412,A,Research Seminar: Diversity in Campus Life,4,R O'Connor,R,1330,1600,,NA,NA,TBA,12,8,Available: 4,Instructor permission required,
Art and Art History,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,
25674,ART,103,A,Introduction to Lens and Time-based Media,4,P Malde,R,1400,1630,WF,800,850,Carnegie Hall 311,12,13,Closed,Reserved Seats: returning freshmen-6 (5 available); Instructor permission required; Studio Art Fee-Malde: $350,
25675,ART,104,A,Introduction to Three- and Four-Dimensional Media,4,G Pond,T,1400,1630,,NA,NA,Nabit Art Building 103,12,11,Available: 1,Reserved Seats: returning freshmen-6 (8 available); Instructor permission required; Studio Art Fee-Pond: $150,
25676,ART,105,A,Introduction to Painting and Drawing Processes and Theory,4,J Wohl,W,1400,1630,,NA,NA,Nabit Art Building 102,15,17,Closed,Reserved Seats: returning freshmen-6 (5 available); Instructor permission required; Studio Art Fee-Wohl: $150,
25678,ART,261,A,Intermediate Photography,4,P Malde,F,1400,1630,,NA,NA,Carnegie Hall 311,8,3,Available: 5,Prerequisites: ART 103 or ART 161; Instructor permission required; Studio Art Fee-Malde: $350,
25679,ART,281,A,Intermediate Sculpture,4,G Pond,W,1400,1630,,NA,NA,Nabit Art Building 116,10,5,Available: 5,Prerequisites: ART 104 or ART 181; Sculpture Fee: $250,
25755,ART,282,A,Sustainable Structures,4,G Pond,R,1400,1630,,NA,NA,Nabit Art Building 103,12,12,Closed,Prerequisites: ART 104 or ENST 200; Instructor permission required; Studio Art Fee-Pond: $165,
25680,ART,291,A,Intermediate Painting,4,J Wohl,T,1400,1630,,NA,NA,Nabit Art Building 102,8,11,Closed,Prerequisites: ART 105 or ART 191; Studio Art Fee-Wohl: $275,G2: Understanding the Arts
25681,ART,361,A,Advanced Photography,4,P Malde,F,1400,1630,,NA,NA,Carnegie Hall 311,8,6,Available: 2,Prerequisite: ART 261; Instructor permission required; Studio Art Fee-Malde: $350,
25682,ART,381,A,Advanced Sculpture,4,G Pond,W,1300,1530,,NA,NA,Nabit Art Building 116,8,3,Available: 5,Prerequisite: ART 281; Sculpture Fee: $275,
25683,ART,391,A,Advanced Painting,4,J Wohl,T,1400,1630,,NA,NA,Nabit Art Building 102,4,4,Closed,Prerequisite: ART 291; Waitlist - contact instructor; Studio Art Fee-Wohl: $275,
25684,ART,419,A,Junior Tutorial in Art-II,4,J Wohl,M,1400,1630,,NA,NA,Nabit Art Building 103,16,12,Available: 4,Writing Intensive; Open only to juniors pursuing majors in art,
25685,ART,430,A,Senior Seminar,4,P Malde,M,1400,1630,,NA,NA,Carnegie Hall 311,16,13,Available: 3,Writing Intensive; Open only to seniors pursuing majors in art,
25716,ARTH,103,A,Survey of Western Art I,4,G Clark,TR,800,915,,NA,NA,Carnegie Hall 302,20,22,Closed,,
25717,ARTH,104,A,Survey of Western Art II,4,J Musto,MWF,900,950,,NA,NA,Carnegie Hall 306,20,20,Closed,,
25718,ARTH,104,B,Survey of Western Art II,4,J Musto,MWF,1100,1150,,NA,NA,Carnegie Hall 306,20,22,Closed,,
25367,ARTH,107,A,The Films of Alfred Hitchcock,4,L Richardson,TR,1100,1215,,NA,NA,Gailor Hall 011,20,21,Closed,Instructor permission required,
25719,ARTH,312,A,Greek and Roman Art and Architecture,4,G Clark,TR,1100,1215,,NA,NA,Carnegie Hall 302,18,25,Closed,Prerequisites: ARTH 103 or HUMN 102,
25720,ARTH,317,A,Junior Seminar,4,J Musto,T,1400,1630,,NA,NA,Spencer Hall 262,16,14,Available: 2,Writing Intensive; Prerequisites: ARTH 103 and ARTH 104,
25721,ARTH,325,A,Italian Renaissance Art and Architecture,4,G Clark,MW,1300,1415,,NA,NA,Carnegie Hall 302,18,19,Closed,Prerequisites: ARTH 103 or ARTH 104 or HUMN 102 or AP Art History with a score of 4 or 5,
25722,ARTH,346,A,Contemporary Art,4,J Thompson,TR,930,1045,,NA,NA,Carnegie Hall 302,16,18,Closed,,
25746,ARTH,360,A,Pop Art,4,J Thompson,R,1400,1630,,NA,NA,Carnegie Hall 304,16,18,Closed,Prerequisites: ARTH 104 or HUMN 202,
25747,ARTH,370,A,Art in Germany: 1919-1933,4,J Thompson,MWF,1100,1150,,NA,NA,Carnegie Hall 302,16,18,Closed,,
Asian Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,
25723,ASIA,232,A,Father Emperor, Mother Land: Family and Nationalism in Modern Japan,4,N Carter,TR,1500,1615,,NA,NA,Gailor Hall 212,17,17,Closed,Writing Intensive,
25686,CHIN,104,A,Elementary Chinese II,4,W Yang,MWF,1000,1050,T,1230,1320,Gailor Hall 103,16,6,Available: 10,Prerequisites: CHIN 103 or placement,
25687,CHIN,301,A,Advanced Chinese,4,W Yang,MWF,1100,1150,,NA,NA,Gailor Hall 230,16,5,Available: 11,Prerequisites: CHIN 203 or placement,
25705,ECON,310,A,Economic Development in the Third World,4,Y Mohiuddin,TR,1330,1445,,NA,NA,Walsh-Ellett Hall 310,20,26,Closed,Prerequisite: ECON 101,
25598,HIST,212,A,History of China and East Asia II,4,H Goldberg,TR,1330,1445,,NA,NA,Walsh-Ellett Hall 302,25,23,Available: 2,,
25611,HIST,388,A,The United States and Vietnam since 1945,4,H Goldberg,TR,800,915,T,1900,2200,Walsh-Ellett Hall 302,15,14,Available: 1,Prerequisites: HIST 100 or (HUMN 101 and HUMN 102),
25688,JAPN,104,A,Elementary Japanese II,4,N Carter,MWF,900,950,R,1230,1320,Gailor Hall 225,16,11,Available: 5,Prerequisites: JAPN 103 or placement,
