CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
60522,AMST,420,A,Senior Research Seminar,4,W Register,T,1300,1530,,NA,NA,Walsh-Ellett Hall 304,19,7,Available: 12,Writing Intensive; Open only to seniors pursuing majors in American studies,NA
60752,ARTH,212,A,American Animation, 1910-1960,4,G Clark,TR,800,915,,NA,NA,Carnegie Hall 302,19,20,Closed,Reserved Seats: seniors-4 (none available), juniors-5 (1 available), sophomores-5 (none available), returning freshmen-5 (none available); Waitlist - contact instructor,NA
60753,ARTH,212,B,American Animation, 1910-1960,4,G Clark,TR,930,1045,,NA,NA,Carnegie Hall 302,19,19,Closed,Reserved Seats: seniors-4 (none available), juniors-5 (3 available), sophomores-5 (1 available), returning freshmen-5 (none available); Waitlist - contact instructor,NA
60561,ARTH,340,A,American Art,4,M Brennecke,TR,1100,1215,,NA,NA,Carnegie Hall 306,19,19,Closed,Prerequisites: ARTH 104 or HUMN 202,NA
60562,ARTH,340,B,American Art,4,M Brennecke,TR,1330,1445,,NA,NA,Carnegie Hall 306,19,12,Available: 7,Prerequisites: ARTH 104 or HUMN 202,NA
60519,EDUC,279,A,History of American Education,4,W Register,MW,1300,1415,,NA,NA,Walsh-Ellett Hall 304,22,21,Available: 1,,NA
60439,ENGL,377,A,American Literature I,4,E Grammer,TR,1330,1445,,NA,NA,Gailor Hall 110,25,25,Closed,,NA
60441,ENGL,391,A,Modern American Poetry,4,B Clarkson,MWF,1100,1150,,NA,NA,Gailor Hall 114,25,20,Available: 5,,NA
60754,ENGL,392,A,Modern American Fiction,4,T Carlson,MWF,1000,1050,,NA,NA,duPont Library 215,15,16,Closed,,NA
60442,ENGL,393,A,Faulkner,4,J Grammer,W,1400,1630,,NA,NA,Gailor Hall 114,15,16,Closed,Writing Intensive,NA
60443,ENGL,396,A,American Environmental Literature,4,J Gatta,MWF,900,950,,NA,NA,Walsh-Ellett Hall 206,18,16,Available: 2,,NA
60682,HIST,201,A,History of the United States I,4,W Register,MWF,1000,1050,,NA,NA,Walsh-Ellett Hall 304,25,26,Closed,Reserved Seats: juniors-5 (none available), sophomores-20 (3 available); Waitlist - contact instructor,NA
60707,HIST,229,A,The Many Faces of Sewanee,4,J Willis,TR,1100,1215,,NA,NA,Walsh-Ellett Hall 202,15,15,Closed,Writing Intensive; Open only to sophomores; Waitlist - contact instructor,NA
60684,HIST,231,A,African-American History to 1865,4,H Roberson,MW,1430,1545,,NA,NA,Walsh-Ellett Hall 204,19,20,Closed,,NA
60709,HIST,233,A,Race and Sexuality in U.S. History since 1800,4,K Gallon,TR,1330,1445,,NA,NA,Walsh-Ellett Hall 302,25,26,Closed,,NA
60685,HIST,279,A,History of American Education,4,W Register,MW,1300,1415,,NA,NA,Walsh-Ellett Hall 304,22,21,Available: 1,,NA
60687,HIST,316,A,The African-American Church in Slavery and Freedom,4,H Roberson,T,1300,1530,,NA,NA,Walsh-Ellett Hall 206,15,12,Available: 3,Writing Intensive,NA
60688,HIST,327,A,The Old South,4,J Willis,TR,800,915,,NA,NA,Walsh-Ellett Hall 202,25,25,Closed,Waitlist - contact instructor,NA
60668,POLS,204,A,Legislative Process,4,A Hatcher,MW,1300,1415,,NA,NA,Walsh-Ellett Hall 302,25,19,Available: 6,,NA
60672,POLS,331,A,Introduction to Constitutional Law,4,R Pearigen,T,1430,1700,,NA,NA,Walsh-Ellett Hall 210,25,21,Available: 4,,NA
60659,RELG,393,A,Rural Religion,4,J Smith,MW,1100,1150,R,1300,1600,duPont Library G31,15,20,Closed,,NA
60328,SPAN,308,A,U.S. Latino and Latina literature and Culture,4,B Sandlin,M,1300,1530,,NA,NA,Gailor Hall 233,15,16,Closed,Writing Intensive; Prerequisites: One course in Spanish numbered 300 or higher; Instructor permission required,NA
Anthropology,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
60353,ANTH,104,A,Introductory Cultural Anthropology,4,D Murdock,MWF,800,850,,NA,NA,Woods Laboratories 342,24,26,Closed,Reserved Seats: sophomores-7 (none available), returning freshmen-15 (1 available),NA
60354,ANTH,104,B,Introductory Cultural Anthropology,4,R O'Connor,MWF,900,950,,NA,NA,Woods Laboratories 342,15,15,Closed,Writing Intensive; Instructor permission required,NA
60355,ANTH,104,C,Introductory Cultural Anthropology,4,R O'Connor,MWF,1000,1050,,NA,NA,Woods Laboratories 342,15,15,Closed,Writing Intensive; Instructor permission required,NA
60356,ANTH,106,A,Introductory Physical Anthropology and Archaeology,4,S Sherwood,TR,930,1045,,NA,NA,Guerry Hall 1,19,24,Closed,Reserved Seats: sophomores-6 (none available), returning freshmen-9 (none available),NA
60357,ANTH,222,A,Celtic Culture and Archaeology,4,C Ray,TR,1100,1215,,NA,NA,Gailor Hall 212,15,18,Closed,,NA
60822,ANTH,222,B,Celtic Culture and Archaeology,4,C Ray,TR,1330,1445,,NA,NA,Gailor Hall 212,15,15,Closed,Reserved Seats: returning freshmen-5 (none available),NA
60787,ANTH,312,A,Place, Ritual and Belief,4,C Ray,T,1900,2200,,NA,NA,Walsh-Ellett Hall 204,15,17,Closed,,NA
60821,ANTH,316,A,Archaeology of the Cumberland Plateau,4,S Sherwood,TR,1500,1615,,NA,NA,Guerry Hall 1,10,10,Closed,,NA
60360,ANTH,350,A,Environmental Archaeology,4,S Sherwood,TR,1330,1445,,NA,NA,Guerry Hall 1,15,7,Available: 8,,NA
60361,ANTH,401,A,Anthropological Field Methods,4,D Murdock,M,1300,1530,,NA,NA,Woods Laboratories 342,15,7,Available: 8,Writing Intensive; Instructor permission required,NA
Art and Art History,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
60635,ART,103,A,Introduction to Lens and Time-based Media,4,P Malde,M,1400,1630,,NA,NA,duPont Library G31,12,13,Closed,Instructor permission required; Studio Art Fee-Malde: $350,NA
60636,ART,104,A,Introduction to Three- and Four-Dimensional Media,4,G Pond,W,1400,1630,,NA,NA,Nabit Art Building 116,18,20,Closed,Reserved Seats: returning freshmen-9 (2 available); Instructor permission required; Studio Art Fee-Pond: $140,NA
60637,ART,105,A,Introduction to Painting and Drawing Processes and Theory,4,J P,T,1400,1630,,NA,NA,Nabit Art Building 102,16,15,Available: 1,Instructor permission required; Studio Art Fee-Wohl: $125,NA
60638,ART,231,A,Intermediate Digital Arts,4,P Malde,T,1400,1630,,NA,NA,duPont Library G31,6,2,Available: 4,Prerequisite: ART 103; Studio Art Fee-Malde: $250,NA
60639,ART,243,A,Intermediate Video Production,4,G Pond,R,1400,1630,,NA,NA,duPont Library G26,12,4,Available: 8,Prerequisites: ART 104 or ART 143; Studio Art Fee-Pond: $35,NA
60640,ART,261,A,Intermediate Photography,4,P Malde,F,1400,1630,,NA,NA,Carnegie Hall 304,6,5,Available: 1,Prerequisites: ART 103 or ART 161; Studio Art Fee-Malde: $450,NA
60641,ART,291,A,Intermediate Painting,4,J P,W,1400,1630,,NA,NA,Nabit Art Building 102,10,10,Closed,Prerequisites: ART 105 or ART 191; Studio Art Fee-Wohl: $250,NA
