CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
30079,ART,351,A,Advanced Drawing,4,J P,R,1400,1630,,NA,NA,Nabit Art Building 102,10,2,Available: 8,Prerequisite: ART 251; Studio Art Fee-Wohl: $110,NA
30780,ART,363,A,Advanced Documentary Projects in Photography,4,P Malde,TR,1100,1215,,NA,NA,Carnegie Hall 304,10,10,Closed,Prerequisite: ART 263; Studio Art Fee-Malde: $400,NA
30080,ART,381,A,Advanced Sculpture,4,T Glispin,W,1400,1630,,NA,NA,Nabit Art Building 116,10,1,Available: 9,Prerequisite: ART 281; Sculpture Fee: $200,NA
30081,ART,419,A,Junior Tutorial in Art-II,4,P Malde,T,1400,1630,,NA,NA,Carnegie Hall 302,18,5,Available: 13,Writing Intensive; Open only to juniors pursuing majors in art; Studio Art Fee-Malde: $100,NA
30082,ART,430,A,Senior Seminar,4,T Glispin,T,1400,1630,,NA,NA,Nabit Art Building 103,18,11,Available: 7,Writing Intensive; Open only to seniors pursuing majors in art,NA
30063,ARTH,104,A,Survey of Western Art II,4,M Brennecke,MWF,1000,1050,,NA,NA,Carnegie Hall 306,20,24,Closed,Reserved Seats: returning freshmen-10 (6 available),NA
30064,ARTH,104,B,Survey of Western Art II,4,M Brennecke,MWF,1100,1150,,NA,NA,Carnegie Hall 306,20,23,Closed,Reserved Seats: returning freshmen-10 (4 available),NA
30007,ARTH,107,A,The Films of Alfred Hitchcock,4,L Richardson,TR,1100,1215,,NA,NA,Gailor Hall 011,20,19,Available: 1,Instructor permission required,NA
30065,ARTH,312,A,Greek and Roman Art,4,G Clark,MW,1100,1215,,NA,NA,Carnegie Hall 302,20,24,Closed,Prerequisites: ARTH 103 or HUMN 101,NA
30066,ARTH,317,A,Junior Seminar,4,C Mansfield,T,1400,1630,,NA,NA,Carnegie Hall 304,15,9,Available: 6,Writing Intensive,NA
30067,ARTH,317,B,Junior Seminar,4,C Mansfield,W,1400,1630,,NA,NA,Carnegie Hall 304,15,12,Available: 3,Writing Intensive,NA
30068,ARTH,326,A,Northern Renaissance Art,4,G Clark,TR,930,1045,,NA,NA,Carnegie Hall 302,20,11,Available: 9,Prerequisites: ARTH 103 or ARTH 104 or HUMN 102,NA
30069,ARTH,326,B,Northern Renaissance Art,4,G Clark,TR,1100,1215,,NA,NA,Carnegie Hall 302,20,14,Available: 6,Prerequisites: ARTH 103 or ARTH 104 or HUMN 102,NA
30070,ARTH,332,A,Seventeenth- and Eighteenth-Century Art,4,C Mansfield,TR,800,915,,NA,NA,Carnegie Hall 306,30,28,Available: 2,Prerequisites: ARTH 104 or HUMN 202,NA
30071,ARTH,335,A,Nineteenth-Century Art,4,M Brennecke,TR,1100,1215,,NA,NA,Carnegie Hall 306,20,20,Closed,Prerequisites: ARTH 104 or HUMN 202,NA
Asian Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
30318,ASIA,204,A,New Chinese Cinema,4,J Xiao,T,1300,1530,,NA,NA,Gailor Hall 130,20,19,Available: 1,,NA
30764,ASIA,310,A,Japanese Aesthetics,4,S Takahashi,M,1400,1700,,NA,NA,Gailor Hall 224,15,17,Closed,,NA
30316,CHIN,104,A,Elementary Chinese II,4,J Xiao,MW,1000,1050,TR,930,1020,Gailor Hall 233,20,10,Available: 10,Prerequisite: CHIN 103,NA
