CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
15624,AMST,150,A,Introduction to Africana and African American Studies,4,H Roberson,MW,1430,1545,,NA,NA,Walsh-Ellett Hall 202,20,20,Closed,,NA
15625,AMST,333,A,Junior Seminar,4,W Register,T,1330,1600,,NA,NA,Walsh-Ellett Hall 208,15,8,Available: 7,Open only to juniors pursuing majors in American studies,NA
15603,ARTH,340,A,American Art,4,M Brennecke,TR,930,1045,,NA,NA,Carnegie Hall 306,20,20,Closed,Prerequisites: ARTH 104 or HUMN 202,NA
15504,ENGL,378,A,American Literature II,4,J Grammer,MWF,1100,1150,,NA,NA,Gailor Hall 130,20,28,Closed,Prerequisites: ENGL 101 or HUMN 101,NA
15505,ENGL,394,A,Literature of the American South,4,T Carlson,TR,1100,1215,,NA,NA,duPont Library 215,15,12,Available: 3,Open only to juniors and seniors; Prerequisites: ENGL 101 or HUMN 101,NA
15506,ENGL,395,A,African-American Literature,4,E Grammer,R,1400,1630,,NA,NA,Gailor Hall 110,15,8,Available: 7,Writing Intensive; Prerequisites: ENGL 101 or HUMN 101,NA
15507,ENGL,397,A,Contemporary American Fiction,4,T Carlson,W,1400,1630,,NA,NA,duPont Library 215,15,14,Available: 1,Writing Intensive; Open only to juniors and seniors; Prerequisites: ENGL 101 or HUMN 101,NA
15419,HIST,202,A,History of the United States II,4,W Register,MWF,1000,1050,,NA,NA,Walsh-Ellett Hall 304,25,24,Available: 1 Reserved,Reserved Seats: juniors-5 (none available), sophomores-20 (7 available); Prerequisites: HIST 100 or (HUMN 101 and HUMN 102); Waitlist - contact instructor,NA
15422,HIST,237,A,Women in U.S. History, 1600-1870,4,J Berebitsky,TR,1330,1445,,NA,NA,Walsh-Ellett Hall 202,25,23,Available: 2,Prerequisites: HIST 100 or (HUMN 101 and HUMN 102),NA
15426,HIST,317,A,African-American Intellectual History,4,H Roberson,T,1330,1600,,NA,NA,Walsh-Ellett Hall 204,16,10,Available: 6,Open only to juniors and seniors; Prerequisites: HIST 100 or (HUMN 101 and HUMN 102),NA
15434,HIST,393,A,America's Civil War,4,J Willis,TR,930,1045,,NA,NA,Walsh-Ellett Hall 210,30,40,Closed,Open only to juniors and seniors; Prerequisites: HIST 100 or (HUMN 101 and HUMN 102); Waitlist - contact instructor,NA
15765,PHIL,311,A,American Philosophy,4,B Garland,TR,930,1045,,NA,NA,Guerry Hall 204,18,9,Available: 9,Prerequisites: One course in philosophy at the 100- or 200-level (excluding PHIL 201),NA
