CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
20210,AMST,420,A,Senior Research Seminar,4,W Register,TBA,NA,NA,,NA,NA,TBA,15,3,Available: 12,Open only to students pursuing majors in American studies,NA
20216,ARTH,212,A,American Animation, 1910-1960,4,G Clark,TR,930,1045,,NA,NA,Carnegie Hall 302,20,22,Closed,Reserved Seats: seniors-5 (none available), juniors-5 (none available), sophomores-5 (none available), returning freshmen-5 (none available),NA
20217,ARTH,212,B,American Animation, 1910-1960,4,G Clark,TR,1100,1215,,NA,NA,Carnegie Hall 302,20,21,Closed,Reserved Seats: seniors-5 (1 available), juniors-5 (none available), sophomores-5 (none available), returning freshmen-5 (1 available),NA
20221,ARTH,340,A,American Art,4,M Brennecke,TR,930,1045,,NA,NA,Carnegie Hall 306,20,13,Available: 7,Prerequisites: ARTH 104 or HUMN 202,NA
20223,ARTH,340,B,American Art,4,M Brennecke,TR,1100,1215,,NA,NA,Carnegie Hall 306,20,15,Available: 5,Prerequisites: ARTH 104 or HUMN 202,NA
20323,ENGL,377,A,American Literature I,4,E Grammer,TR,1100,1215,,NA,NA,Gailor Hall 110,25,22,Available: 3,,NA
20325,ENGL,391,A,Modern American Poetry,4,B Clarkson,TR,1100,1215,,NA,NA,Gailor Hall 114,25,25,Closed,,NA
20326,ENGL,392,A,Modern American Fiction,4,J Gatta,MWF,1000,1050,,NA,NA,Gailor Hall 110,25,27,Closed,,NA
20327,ENGL,398,A,Contemporary American Poetry,4,W Prunty,T,1400,1630,,NA,NA,Gailor Hall 132,25,20,Available: 5,,NA
20341,HIST,201,A,History of the United States I,4,W Register,MWF,900,950,,NA,NA,Walsh-Ellett Hall 210,25,27,Closed,Reserved Seats: juniors-5 (none available), sophomores-20 (none available); Waitlist - contact instructor,NA
20347,HIST,228,A,Intellectual and Cultural History of the United States II,4,H Roberson,TR,1100,1215,,NA,NA,Walsh-Ellett Hall 208,20,19,Available: 1,,NA
20348,HIST,237,A,Women in U.S. History, 1600-1870,4,J Berebitsky,MW,1100,1215,,NA,NA,Walsh-Ellett Hall 210,20,23,Closed,,NA
20349,HIST,317,A,African-American Intellectual History,4,H Roberson,M,1400,1630,,NA,NA,Walsh-Ellett Hall 204,15,12,Available: 3,,NA
20350,HIST,325,A,Revolutionary America,4,J Willis,TR,930,1045,,NA,NA,Woods Laboratories 340,15,14,Available: 1,Instructor permission required,NA
20351,HIST,327,A,The Old South,4,J Willis,MW,1100,1215,,NA,NA,Walsh-Ellett Hall 304,25,24,Available: 1,Instructor permission required,NA
20352,HIST,339,A,The Making of Modern America, 1877-1920,4,W Register,T,1400,1630,,NA,NA,Gailor Hall 114,15,16,Closed,Waitlist - contact instructor,NA
20168,POLS,332,A,Contemporary Constitutional Law,4,A Hatcher,TR,1400,1515,,NA,NA,Walsh-Ellett Hall 304,25,26,Closed,,NA
20169,POLS,344,A,Myth America,4,G McKeen,MW,1300,1415,,NA,NA,Walsh-Ellett Hall 202,25,26,Closed,,NA
20125,RELG,343,A,Popular Culture and Religion in America,4,J Smith,MWF,900,950,,NA,NA,duPont Library G31,20,23,Closed,,NA
20126,RELG,393,A,Rural Religion,4,J Smith,MW,1100,1150,R,1300,1600,duPont Library G31,20,13,Available: 7,,NA
Anthropology,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
20146,ANTH,104,A,Introductory Cultural Anthropology,4,D Murdock,MWF,800,850,,NA,NA,Woods Laboratories 342,22,23,Closed,Reserved Seats: sophomores-6 (none available), returning freshmen-15 (1 available),NA
