CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
40398,AMST,420,A,Senior Research Seminar,4,W Register,T,1400,1630,,NA,NA,Walsh-Ellett Hall 208,15,5,Available: 10,Writing Intensive; Open only to seniors pursuing majors in American studies,NA
40755,ARTH,212,A,American Animation, 1910-1960,4,G Clark,TR,1330,1445,,NA,NA,Carnegie Hall 302,20,20,Closed,Reserved Seats: seniors-5 (1 available), juniors-5 (none available),NA
40756,ARTH,212,B,American Animation, 1910-1960,4,G Clark,TR,1500,1615,,NA,NA,Carnegie Hall 302,21,20,Available: 1 Reserved,Reserved Seats: seniors-3 (none available), juniors-5 (1 available); Waitlist - contact instructor,NA
40615,ENGL,377,A,American Literature I,4,E Grammer,TR,1100,1215,,NA,NA,Gailor Hall 110,25,21,Available: 4,,NA
40617,ENGL,391,A,Modern American Poetry,4,V Craighill,TR,1100,1215,,NA,NA,Gailor Hall 114,25,21,Available: 4,,NA
40618,ENGL,393,A,Faulkner,4,J Grammer,W,1400,1630,,NA,NA,Gailor Hall 132,15,7,Available: 8,Writing Intensive,NA
40659,HIST,201,A,History of the United States I,4,W Register,MWF,900,950,,NA,NA,Walsh-Ellett Hall 210,25,26,Closed,Reserved Seats: juniors-5 (none available), sophomores-20 (4 available),NA
40660,HIST,201,B,History of the United States I,4,J Willis,MWF,1100,1150,,NA,NA,Walsh-Ellett Hall 202,25,25,Closed,Reserved Seats: juniors-5 (none available), sophomores-20 (1 available); Waitlist - contact instructor,NA
40662,HIST,232,A,African-American History since 1865,4,H Roberson,MW,1430,1545,,NA,NA,Walsh-Ellett Hall 204,20,21,Closed,,NA
40666,HIST,393,A,America's Civil War,4,J Willis,TR,800,915,,NA,NA,Walsh-Ellett Hall 202,25,27,Closed,Waitlist - contact instructor,NA
40646,POLS,204,A,Legislative Process,4,A Hatcher,MW,1430,1545,,NA,NA,Walsh-Ellett Hall 210,25,26,Closed,,NA
40649,POLS,331,A,Introduction to Constitutional Law,4,R Pearigen,T,1430,1700,,NA,NA,Walsh-Ellett Hall 202,15,19,Closed,,NA
40651,POLS,373,A,African-American Political Thought,4,G McKeen,MW,1300,1415,,NA,NA,Walsh-Ellett Hall 304,25,22,Available: 3,,NA
40839,RELG,393,A,Rural Religion,4,J Smith,MW,1100,1150,R,1300,1600,duPont Library G31,15,18,Closed,,NA
Anthropology,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
40467,ANTH,104,A,Introductory Cultural Anthropology,4,D Murdock,MWF,800,850,,NA,NA,Woods Laboratories 342,24,21,Available: 3,Reserved Seats: sophomores-6 (none available), returning freshmen-12 (1 available),NA
40468,ANTH,104,B,Introductory Cultural Anthropology,4,D Murdock,MWF,900,950,,NA,NA,Woods Laboratories 342,24,24,Closed,Reserved Seats: sophomores-6 (none available), returning freshmen-12 (none available),NA
40469,ANTH,104,C,Introductory Cultural Anthropology,4,R O'Connor,MWF,1000,1050,,NA,NA,Woods Laboratories 342,24,24,Closed,Reserved Seats: sophomores-6 (none available), returning freshmen-12 (1 available),NA
40470,ANTH,104,D,Introductory Cultural Anthropology,4,R O'Connor,MWF,1100,1150,,NA,NA,Woods Laboratories 342,24,22,Available: 2,Reserved Seats: sophomores-6 (none available), returning freshmen-12 (none available),NA
40837,ANTH,106,A,Introductory Physical Anthropology and Archaeology,4,S Sherwood,TR,930,1045,,NA,NA,Guerry Hall 1,25,27,Closed,Reserved Seats: sophomores-8 (none available), returning freshmen-8 (none available),NA
40870,ANTH,106,B,Introductory Physical Anthropology and Archaeology,4,S Sherwood,TR,1330,1445,,NA,NA,Woods Laboratories 216,22,17,Available: 5,Reserved Seats: sophomores-8 (3 available), returning freshmen-8 (none available),NA
40471,ANTH,204,A,Anthropology of Education,4,M Wallace,T,1300,1600,,NA,NA,duPont Library G9D,15,14,Available: 1,Writing Intensive; Observation and research in local schools,NA
40472,ANTH,222,A,Celtic Culture and Archaeology,4,C Ray,TR,1100,1215,,NA,NA,Guerry Hall 1,30,33,Closed,,NA
40473,ANTH,303,A,The Anthropology of Europe,4,C Ray,T,1900,2130,,NA,NA,Gailor Hall 128,18,19,Closed,,NA
40861,ANTH,350,A,Environmental Archaeology,4,S Sherwood,W,1400,1630,,NA,NA,Gailor Hall 130,20,15,Available: 5,,NA
