CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
10098,AMST,333,A,Junior Seminar,4,W Register/J Grammer,M,1400,1630,,NA,NA,TBA,15,12,Available: 3,Writing Intensive; Open only to students pursuing majors in American studies,NA
10275,ANTH,307,A,The Archaeology of Southeastern United States,4,M McCollough,W,1530,1830,,NA,NA,Woods Laboratories 301,15,7,Available: 8,Prerequisite: ANTH 106,NA
10057,ARTH,340,A,American Art,4,M Brennecke,W,1400,1630,,NA,NA,Carnegie Hall 306,20,24,Closed,,NA
10136,ENGL,378,A,American Literature II,4,J Grammer,MWF,1100,1150,,NA,NA,St. Luke's 112,30,32,Closed,,NA
10197,HIST,202,A,History of the United States II,4,W Register,MWF,1000,1050,,NA,NA,Walsh-Ellett Hall 308,25,24,Available: 1,,NA
10198,HIST,202,B,History of the United States II,4,J Willis,MWF,1100,1150,,NA,NA,Woods Laboratories 230,25,27,Closed,,NA
10203,HIST,228,A,Intellectual and Cultural History of the United States II,4,H Roberson,MWF,900,950,,NA,NA,Walsh-Ellett Hall 310,20,14,Available: 6,,NA
10205,HIST,238,A,Women in U.S. History, 1870 to the Present,4,J Berebitsky,TR,930,1045,,NA,NA,St. Luke's 214,22,22,Closed,,NA
10209,HIST,327,A,The Old South,4,J Willis,TR,1100,1215,,NA,NA,Walsh-Ellett Hall 308,25,28,Closed,,NA
10211,HIST,347,A,The American Civil Rights Movement,4,H Roberson,M,1400,1630,,NA,NA,Walsh-Ellett Hall 204,15,12,Available: 3,Writing Intensive,NA
10080,POLS,203,A,The Presidency,4,C Brockett,MW,1100,1215,,NA,NA,St. Luke's 210,25,24,Available: 1,Waitlist - contact instructor,NA
10081,POLS,203,B,The Presidency,4,C Brockett,TR,1100,1215,,NA,NA,St. Luke's 112,25,30,Closed,Waitlist - contact instructor,NA
10082,POLS,205,A,The Judicial Process,4,B Keele,MWF,800,850,,NA,NA,Walsh-Ellett Hall 312,25,7,Available: 18,,NA
10084,POLS,322,A,United States Foreign Policy,4,B Ward,TR,930,1045,,NA,NA,St. Luke's 112,25,35,Closed,,NA
10086,POLS,332,A,Contemporary Constitutional Law,4,B Keele,TR,800,915,,NA,NA,Walsh-Ellett Hall 312,25,8,Available: 17,,NA
10088,POLS,390,A,The United Nations,4,E Dunn,MW,1400,1515,,NA,NA,St. Luke's 112,25,17,Available: 8,,NA
10336,RELG,391,A,Southern Religion,4,J Smith,MWF,1000,1050,,NA,NA,Walsh-Ellett Hall 210,20,33,Closed,,NA
Anthropology,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
10268,ANTH,104,A,Introductory Cultural Anthropology,4,S Phillips,MWF,800,850,,NA,NA,Woods Laboratories 342,20,18,Available: 2,Reserved Seats: sophomores-7 (1 available), returning freshmen-10 (none available),NA
10269,ANTH,104,B,Introductory Cultural Anthropology,4,C Ray,MWF,900,950,,NA,NA,Woods Laboratories 342,20,25,Closed,Reserved Seats: sophomores-7 (none available), returning freshmen-10 (none available),NA
10270,ANTH,104,C,Introductory Cultural Anthropology,4,C Ray,MWF,1000,1050,,NA,NA,Woods Laboratories 342,20,27,Closed,Reserved Seats: sophomores-7 (none available), returning freshmen-10 (none available),NA
