CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
10306,AMST,420,A,Senior Research Seminar,4,W Register,TBA,NA,NA,,NA,NA,TBA,25,2,Available: 23,Writing Intensive; Open only to students pursuing majors in American studies; Instructor permission required,NA
10355,ENGL,377,A,American Literature I,4,J Grammer,MWF,900,950,,NA,NA,Gailor Hall 110,25,23,Available: 2,,NA
10358,ENGL,391,A,Modern American Poetry,4,B Clarkson,TR,1100,1215,,NA,NA,Gailor Hall 114,25,22,Available: 3,,NA
10359,ENGL,393,A,Faulkner,4,T Carlson,W,1400,1630,,NA,NA,duPont Library 215,15,15,Closed,,NA
10558,HIST,201,A,History of the United States I,4,A Scott,MWF,900,950,,NA,NA,Walsh-Ellett Hall 306,25,25,Closed,,NA
10560,HIST,238,A,Women in U.S. History, 1870 to the Present,4,J Berebitsky,MW,1100,1215,,NA,NA,Walsh-Ellett Hall 308,20,20,Closed,,NA
10565,HIST,318,A,African American Women and Religion,4,H Roberson,T,1400,1630,,NA,NA,Walsh-Ellett Hall 308,15,9,Available: 6,Writing Intensive,NA
10566,HIST,325,A,Revolutionary America,4,J Willis,TR,930,1045,,NA,NA,Woods Laboratories 340,15,15,Closed,,NA
10567,HIST,327,A,The Old South,4,J Willis,MW,1100,1215,,NA,NA,Walsh-Ellett Hall 210,35,34,Available: 1,,NA
Anthropology,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
10453,ANTH,104,A,Introductory Cultural Anthropology,4,D Murdock,MWF,800,850,,NA,NA,Woods Laboratories 342,20,22,Closed,Reserved Seats: sophomores-6 (1 available), returning freshmen-10 (none available),NA
10454,ANTH,104,B,Introductory Cultural Anthropology,4,D Murdock,MWF,900,950,,NA,NA,Woods Laboratories 342,20,20,Closed,Reserved Seats: sophomores-6 (1 available), returning freshmen-10 (none available),NA
10455,ANTH,104,C,Introductory Cultural Anthropology,4,R O'Connor,MWF,1000,1050,,NA,NA,Woods Laboratories 342,20,21,Closed,Reserved Seats: sophomores-6 (none available), returning freshmen-10 (1 available),NA
10456,ANTH,104,D,Introductory Cultural Anthropology,4,R O'Connor,MWF,1100,1150,,NA,NA,Woods Laboratories 342,20,21,Closed,Reserved Seats: sophomores-6 (none available), returning freshmen-10 (none available),NA
10457,ANTH,204,A,Anthropology of Education,4,M Wallace,M,1300,1530,,NA,NA,duPont Library G9D,12,13,Closed,Writing Intensive; Additional time required in schools,NA
10737,ANTH,300,A,Cross-Dressing Cross-Culturally: Gender in Reverse,4,R Kipp,R,1330,1600,,NA,NA,Gailor Hall 019,16,8,Available: 8,Instructor permission required,NA
10458,ANTH,302,A,Cultures of Appalachia and the South,4,C Ray,TR,1500,1615,,NA,NA,Woods Laboratories 342,20,22,Closed,,NA
