CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days 2,Beg 2,End 2,Location,Limit,Enr,Av Seats,Additional Info,General Education
,,,,,,,,,,,,,,,,,,
American Studies,,,,,,,,,,,,,,,,,,
15583,ANTH,391,A,Junior Tutorial,4,R O'Connor,W,1300,1530,,,,Stirlings ,15,6,Available: 9,GMWI: Upper-Level (Major) Writing Intensive; Prerequisite: ANTH 104; Consent of professor required for late entry,
15584,ANTH,403,A,Social Theory,4,D Murdock,M,1300,1530,,,,Woods Laboratories 342,15,10,Available: 5,Open only to seniors pursuing majors in anthropology; Consent of professor required for late entry,
,,,,,,,,,,,,,,,,,,
Arabic,,,,,,,,,,,,,,,,,,
15534,ARAB,104,A,Elementary Arabic II,4,L King,MWF,900,950,W,1400,1500,Gailor Hall 019,20,6,Available: 14,Prerequisites: ARAB 103 or placement; Consent of professor required for late entry,
16030,ARAB,204,A,Intermediate Arabic II,4,S Abushkheidem,W,1400,1630,,,,Snowden Hall 212,20,4,Available: 16,Prerequisites: ARAB 203 or placement; Consent of professor required for late entry,G6: Comprehending Cross-Culturally (Language)
,,,,,,,,,,,,,,,,,,
Archaeology,,,,,,,,,,,,,,,,,,
15581,ANTH,318,A,North American Archaeology,4,S Sherwood,TR,1500,1615,,,,Snowden Hall 221,15,12,Available: 3,Consent of professor required for late entry,
15809,ARCH,350,A,Special Topics: Digital Archaeology,4,J DiBiasie,MW,1400,1515,R,1500,1700,Gailor Hall 112,10,8,Available: 2,Prerequisites: ANTH 106 or ANTH 109 or CLST 207 or CLST 208 or CLST 220; Consent of professor required for late entry,
15727,BIOL,213,A,Evolutionary Biology,4,M Schrader,MWF,900,950,,,,Woods Laboratories 123,20,20,Closed // Waitlist: 0,Non-Lab Science; Prerequisite: BIOL 130; Consent of professor required for late entry,
15870,ENST,317,A,Advanced Applications of GIS,4,C Van de Ven,TR,800,915,R,1330,1630,duPont Library G10,18,16,Available: 2,Prerequisite: ENST 217; Consent of professor required for late entry,
,,,,,,,,,,,,,,,,,,
Art and Art History,,,,,,,,,,,,,,,,,,
15948,ART,101,A,"Line, Form and Space:  Studies in Drawing, Photography and Sculpture",4,J Wohl and others,T,1330,1630,,,,Nabit Art Building 103,15,15,Closed // Waitlist: 2,"Open only to freshmen and sophomores; Reserved Seats: new first-year students-7 (none available); Consent of professor required for late entry; Studio Art Fee-Malde: $145, Studio Art Fee-Pond: $85, and Studio Art Fee-Wohl: $55",G2: Understanding the Arts
15949,ART,102,A,"Color, Motion, and Time:  Studies in Digital Art, Painting, and Video",4,G Pond and others,T,1330,1630,,,,Carnegie Hall 311,15,11,Available: 4,"Open only to freshmen and sophomores; Reserved Seats: new first-year students-2 (none available); Consent of professor required for late entry; Studio Art Fee-Malde: $120, Studio Art Fee-Wohl: $120, and Studio Art Fee-Pond: $45",G2: Understanding the Arts
15950,ART,231,A,Topics in Electronic and Interactive Art,4,P Malde/L Allingham,TR,1100,1215,,,,Carnegie Hall 311,15,15,Closed // Waitlist: 0,Reserved Seats: new first-year students-4 (none available); Consent of professor required for late entry; Studio Art Fee-Malde: $250,G2: Understanding the Arts
15951,ART,255,A,Collage and Assemblage:  Combinations of Contemporary Culture,4,J Wohl,R,1330,1630,,,,Nabit Art Building 103,15,14,Available: 1 Reserved // Waitlist: 2,Reserved Seats: new first-year students-4 (1 available); students pursuing programs in art-3 (none available); Consent of professor required for late entry; Studio Art Fee-Wohl: $250,G2: Understanding the Arts
15952,ART,285,A,Modeling and Casting in Contemporary Sculpture,4,G Pond,W,1330,1630,,,,Nabit Art Building 103,15,15,Closed // Waitlist: 0,Reserved Seats: new first-year students-5 (none available); Consent of professor required for late entry; Studio Art Fee-Pond: $250,G2: Understanding the Arts
15953,ART,299,A,Painting from Life,4,J Wohl,W,1330,1630,,,,Nabit Art Building 116,15,14,Available: 1,Reserved Seats: new first-year students-5 (none available); students pursuing programs in art-3 (none available); Consent of professor required for late entry; Studio Art Fee-Wohl: $275,G2: Understanding the Arts
15954,ART,361,A,Advanced Photography,4,P Malde,R,1330,1630,,,,Carnegie Hall 311,15,15,Closed // Waitlist: 5,Prerequisites: ART 101 or ART 103 or ART 261 or ART 263; Consent of professor required for late entry; Studio Art Fee-Malde: $450,
15955,ART,430,A,Senior Seminar,4,P Malde and others,M,1330,1630,,,,Nabit Art Building 103,15,6,Available: 9,Open only to students pursuing majors in art; Consent of professor required for late entry,
15943,ARTH,103,A,Survey of Western Art I,4,M Brennecke,MW,1400,1515,,,,Carnegie Hall 306,25,21,Available: 4,Reserved Seats: new first-year students-7 (none available); Consent of professor required for late entry,G2: Understanding the Arts
15944,ARTH,104,A,Survey of Western Art II,4,J Thompson,TR,930,1045,,,,Carnegie Hall 302,24,22,Available: 2,Reserved Seats: new first-year students-10 (none available); Consent of professor required for late entry,G2: Understanding the Arts
15941,ARTH,325,A,Italian Renaissance Art and Architecture,4,S MacLaren,MWF,1300,1350,,,,Carnegie Hall 302,18,18,Closed // Waitlist: 0,Prerequisites: ARTH 103 or ARTH 104 or HUMN 102 or HUMN 104; Consent of professor required for late entry,
15945,ARTH,335,A,Nineteenth-Century Art,4,M Brennecke,TR,1330,1445,,,,Carnegie Hall 306,18,15,Available: 3,Prerequisites: ARTH 104 or HUMN 202; Consent of professor required for late entry,
15946,ARTH,360,A,Pop Art,4,J Thompson,MW,1400,1515,,,,Carnegie Hall 302,18,18,Closed // Waitlist: 2,Prerequisites: ARTH 104 or HUMN 202; Consent of professor required for late entry,
15942,ARTH,365,A,Modern and Postmodern Architecture,4,S MacLaren,TR,1100,1215,,,,Carnegie Hall 302,18,16,Available: 2,Reserved Seats: new first-year students-5 (none available); Consent of professor required for late entry,G2: Understanding the Arts
,,,,,,,,,,,,,,,,,,
Asian Studies,,,,,,,,,,,,,,,,,,
15808,ASIA,208,A,Modern Chinese Literature in Translation,4,S Yang,TR,930,1045,,,,Gailor Hall 233,25,23,Available: 2,Reserved Seats: new first-year students-4 (none available); Consent of professor required for late entry,"G1: Reading Closely,G6CH: Comprehending Cross-Culturally (Chinese Culture)"
15539,ASIA,233,A,The Fantastical World of <em>Anime</em>,4,L Nuffer,MW,1400,1515,,,,Gailor Hall 233,25,25,Closed // Waitlist: 1,Consent of professor required for late entry,
15535,CHIN,104,A,Elementary Chinese II,4,S Yang,MWF,900,950,T,1230,1320,Gailor Hall 103,25,7,Available: 18,Prerequisites: CHIN 103 or placement; Consent of professor required for late entry,
15536,CHIN,301,A,Advanced Chinese,4,S Yang,MWF,1100,1150,,,,Gailor Hall 103,25,10,Available: 15,Prerequisites: CHIN 203 or placement; Consent of professor required for late entry,G6: Comprehending Cross-Culturally (Language)
15567,HIST,222,A,History of India and South Asia II,4,D Bhattacharjee,TR,1330,1445,,,,Walsh-Ellett Hall 304,25,15,Available: 10,Reserved Seats: new first-year students-3 (none available); Prerequisites: One course with attribute G4 including AP or IB credit; Consent of professor required for late entry,G4: Exploring Past and Present
15938,HIST,351,A,History of Modern India through Cinema and Literature,4,D Bhattacharjee,W,1300,1530,,,,Walsh-Ellett Hall 208,16,7,Available: 9,Prerequisites: One course with attribute G4 including AP or IB credit; Consent of professor required for late entry,
15537,JAPN,104,A,Elementary Japanese II,4,L Nuffer,MWF,1000,1050,T,1230,1320,Gailor Hall 233,25,11,Available: 14,Prerequisites: JAPN 103 or placement; Consent of professor required for late entry,
15538,JAPN,301,A,Composition and Conversation,4,L Nuffer,MWF,1200,1250,,,,Gailor Hall 233,25,7,Available: 18,Prerequisites: JAPN 203 or placement; Consent of professor required for late entry,G6: Comprehending Cross-Culturally (Language)
15759,PHIL,215,A,Chinese Philosophy,4,J Peterman,TR,930,1045,,,,Carnegie Hall 201,23,23,Closed // Waitlist: 0,Consent of professor required for late entry,
15927,RELG,164,A,Studying Asian Religions (in the West),4,S Brown,MWF,800,850,,,,Walsh-Ellett Hall 208,22,19,Available: 3,Community Engagement; Reserved Seats: new first-year students-6 (none available); Consent of professor required for late entry,G3: Seeking Meaning
