CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
10486,AMST,333,A,Junior Seminar,4,J Grammer,W,1400,1630,,NA,NA,Gailor Hall 019,15,6,Available: 9,,NA
10632,ANTH,307,A,The Archaeology of Southeastern United States,4,M McCollough,W,1530,1830,,NA,NA,Woods Laboratories 301,15,15,Closed,,NA
10278,ARTH,212,A,American Animation, 1910-1960,4,G Clark,TR,930,1045,,NA,NA,Carnegie Hall 302,20,22,Closed,Reserved Seats: seniors-5 (none available), juniors-5 (none available), sophomores-5 (none available), returning freshmen-5 (2 available),NA
10279,ARTH,212,B,American Animation, 1910-1960,4,G Clark,TR,1100,1215,,NA,NA,Carnegie Hall 302,20,20,Closed,Reserved Seats: seniors-5 (none available), juniors-5 (none available), sophomores-5 (2 available), returning freshmen-5 (none available),NA
10283,ARTH,310,A,Far East in American Visual Culture,4,M Oba,M,1400,1630,,NA,NA,Gailor Hall 230,15,5,Available: 10,Writing Intensive; Prerequisites: One course in art history, Asian studies or American studies,NA
10276,ARTH,347,A,Matthew Barney’s Cremaster Cycle,4,C Mansfield,TR,1100,1215,,NA,NA,Carnegie Hall 304,14,20,Closed,Writing Intensive; Instructor permission required,NA
10475,ENGL,378,A,American Literature II,4,E Grammer,TR,930,1045,,NA,NA,Gailor Hall 110,25,23,Available: 2,,NA
10478,ENGL,394,A,Literature of the American South,4,J Grammer,MWF,900,950,,NA,NA,Gailor Hall 110,25,26,Closed,,NA
10479,ENGL,395,A,African-American Literature,4,E Grammer,M,1400,1630,,NA,NA,Gailor Hall 114,15,12,Available: 3,Writing Intensive,NA
10480,ENGL,396,A,American Environmental Literature,4,J Gatta,MWF,1000,1050,,NA,NA,Gailor Hall 130,25,14,Available: 11,,NA
10481,ENGL,397,A,Contemporary American Fiction,4,T Carlson,W,1400,1630,,NA,NA,duPont Library 215,15,14,Available: 1,Writing Intensive,NA
10345,HIST,202,A,History of the United States II,4,A Scott,MWF,800,850,,NA,NA,Walsh-Ellett Hall 306,25,25,Closed,,NA
10351,HIST,231,A,African-American History to 1865,4,H Roberson,TR,1100,1215,,NA,NA,Walsh-Ellett Hall 202,20,21,Closed,,NA
10686,HIST,316,A,The African-American Church in Slavery and Freedom,4,H Roberson,M,1400,1630,,NA,NA,Walsh-Ellett Hall 312,15,12,Available: 3,Writing Intensive,NA
10355,HIST,322,A,Southern Lives,4,J Willis,TR,930,1045,,NA,NA,Walsh-Ellett Hall 204,15,14,Available: 1,Writing Intensive; Waitlist - contact instructor,NA
10364,HIST,393,A,America's Civil War,4,J Willis,MW,1100,1215,,NA,NA,Walsh-Ellett Hall 204,15,14,Available: 1,Writing Intensive; Waitlist - contact instructor,NA
10586,MUSC,223,A,American Music,4,S Miller,TR,1100,1215,,NA,NA,Guerry Hall 131,15,10,Available: 5,Writing Intensive; Prerequisites: MUSC 101 or HUMN 202,NA
10332,PHIL,311,A,American Philosophy,4,B Garland,TR,930,1045,,NA,NA,Guerry Hall 204,22,17,Available: 5,Prerequisites: One course in philosophy at the 100- or 200-level (excluding PHIL 201),NA
10440,POLS,203,A,The Presidency,4,C Brockett,WF,1100,1215,,NA,NA,Walsh-Ellett Hall 210,30,28,Available: 2,,NA
10441,POLS,204,A,Legislative Process,4,A Hatcher,TR,1300,1415,,NA,NA,Walsh-Ellett Hall 206,25,25,Closed,,NA
10444,POLS,304,A,American Political Thought,4,G McKeen,MW,1400,1515,,NA,NA,Walsh-Ellett Hall 304,25,25,Closed,,NA
10446,POLS,322,A,United States Foreign Policy,4,B Ward,MWF,800,850,,NA,NA,Guerry Hall 204,25,15,Available: 10,,NA
10450,POLS,390,A,The United Nations,4,E Dunn,TR,1100,1215,,NA,NA,Guerry Hall 1,25,11,Available: 14,,NA
Anthropology,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
10628,ANTH,104,A,Introductory Cultural Anthropology,4,D Murdock,MWF,800,850,,NA,NA,Woods Laboratories 342,22,21,Available: 1,Reserved Seats: sophomores-6 (none available), returning freshmen-10 (none available),NA
10692,ANTH,180,A,Archaeology of Britain,4,I Ralston,WR,1300,1415,,NA,NA,Woods Laboratories 340,23,24,Closed,Reserved Seats: seniors-6 (2 available), juniors-8 (4 available),NA
10629,ANTH,202,A,World Prehistory,4,C Ray,TR,930,1045,,NA,NA,Woods Laboratories 340,23,23,Closed,Reserved Seats: seniors-5 (none available), juniors-8 (5 available),NA
10630,ANTH,202,B,World Prehistory,4,C Ray,TR,1100,1215,,NA,NA,Woods Laboratories 340,23,24,Closed,Reserved Seats: seniors-5 (none available), juniors-8 (none available),NA
10631,ANTH,222,A,Celtic Culture and Archaeology,4,C Ray,MW,1100,1215,,NA,NA,Woods Laboratories 234,23,27,Closed,Reserved Seats: seniors-8 (none available), juniors-8 (5 available),NA
10632,ANTH,307,A,The Archaeology of Southeastern United States,4,M McCollough,W,1530,1830,,NA,NA,Woods Laboratories 301,15,15,Closed,,NA
10633,ANTH,320,A,Marriage, Family, and Kinship,4,J Hamer,TR,930,1045,,NA,NA,Woods Laboratories 342,15,13,Available: 2,,NA
10634,ANTH,321,A,Women in Cross-Cultural Perspective,4,D Murdock,MWF,1000,1050,,NA,NA,Woods Laboratories 342,15,13,Available: 2,Writing Intensive,NA
