CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
50674,AMST,150,A,Introduction to Africana and African American Studies,4,H Roberson,MW,1430,1545,,NA,NA,Walsh-Ellett Hall 302,20,13,Available: 7,,NA
50313,AMST,333,A,Junior Seminar,4,W Register,W,1400,1630,,NA,NA,Gailor Hall 112,15,12,Available: 3,Open only to juniors or seniors pursuing majors in American studies,NA
50317,ANTH,301,A,American Culture,4,R O'Connor,TR,1100,1215,,NA,NA,Woods Laboratories 342,15,13,Available: 2,Waitlist - contact instructor,NA
50441,ENGL,378,A,American Literature II,4,E Grammer,TR,1100,1215,,NA,NA,Gailor Hall 110,25,25,Closed,,NA
50740,ENGL,394,A,Literature of the American South,4,J Grammer,TR,1330,1445,,NA,NA,Gailor Hall 110,25,30,Closed,,NA
50446,ENGL,395,A,African-American Literature,4,E Grammer,M,1400,1630,,NA,NA,Gailor Hall 212,15,15,Closed,Writing Intensive,NA
50447,ENGL,397,A,Contemporary American Fiction,4,T Carlson,W,1400,1630,,NA,NA,duPont Library 215,15,13,Available: 2,Writing Intensive,NA
50487,HIST,202,A,History of the United States II,4,W Register,TR,930,1045,,NA,NA,Walsh-Ellett Hall 304,25,21,Available: 4 Reserved,Reserved Seats: juniors-5 (none available), sophomores-20 (8 available),NA
50488,HIST,202,B,History of the United States II,4,J Willis,MWF,1100,1150,,NA,NA,Walsh-Ellett Hall 202,25,25,Closed,Reserved Seats: juniors-5 (none available), sophomores-15 (none available), returning freshmen-5 (5 available); Waitlist - contact instructor,NA
50695,HIST,203,A,Manifest Destiny and American Expansionism in the 19th century,4,B Walker,TR,1500,1630,,NA,NA,Walsh-Ellett Hall 308,25,26,Closed,,NA
50494,HIST,317,A,African-American Intellectual History,4,H Roberson,T,1300,1530,,NA,NA,Walsh-Ellett Hall 202,15,14,Available: 1,,NA
50711,HIST,325,A,Revolutionary America,4,J Willis,TR,930,1045,,NA,NA,Walsh-Ellett Hall 204,14,17,Closed,Waitlist - contact instructor,NA
50495,HIST,339,A,The Making of Modern America, 1877-1920,4,W Register,M,1300,1530,,NA,NA,Gailor Hall 112,15,15,Closed,,NA
