CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
10294,AMST,333,A,Junior Seminar,4,W Register/J Grammer,W,1400,1630,,NA,NA,Stirlings ,25,10,Available: 15,Writing Intensive; Instructor permission required,NA
10391,ANTH,307,A,The Archaeology of Southeastern United States,4,M McCollough,W,1530,1830,,NA,NA,Woods Laboratories 301,15,4,Available: 11,Prerequisite: ANTH 106,NA
10576,ARTH,348,A,Reframing Architecture and the Decorative Arts: Arts and Crafts, Art Nouveau, and Art Deco,4,M Oba,TR,1300,1415,,NA,NA,Carnegie Hall 302,20,1,Available: 19,Prerequisites: ARTH 104 or HUMN 202,NA
10307,EDUC,279,A,History of American Education,4,W Register,MW,1100,1215,,NA,NA,St. Luke's 214,20,23,Closed,,NA
10607,ENGL,378,A,American Literature II,4,E Grammer,TR,1100,1215,,NA,NA,St. Luke's 112,25,23,Available: 2,,NA
10608,ENGL,379,A,The American Novel,4,T Carlson,TR,1400,1515,,NA,NA,duPont Library 215,15,13,Available: 2,Writing Intensive,NA
10691,ENGL,396,A,American Environmental Literature,4,J Gatta,MWF,900,950,,NA,NA,Walsh-Ellett Hall 302,25,19,Available: 6,,NA
10625,HIST,202,A,History of the United States II,4,C Israel,MWF,1100,1150,,NA,NA,Walsh-Ellett Hall 308,25,24,Available: 1,,NA
10628,HIST,226,A,Politics and Society in Contemporary America,4,W Register,TR,930,1045,,NA,NA,Walsh-Ellett Hall 306,25,23,Available: 2,,NA
10629,HIST,227,A,Intellectual and Cultural History of the United States I,4,H Roberson,TR,1300,1415,,NA,NA,Walsh-Ellett Hall 206,25,23,Available: 2,,NA
10632,HIST,279,A,History of American Education,4,W Register,MW,1100,1215,,NA,NA,St. Luke's 214,20,23,Closed,,NA
10635,HIST,329,A,The New South,4,C Israel,TR,1100,1215,,NA,NA,St. Luke's 100,15,15,Closed,Waitlist - contact instructor,NA
10637,HIST,347,A,The American Civil Rights Movement,4,H Roberson,M,1400,1630,,NA,NA,Walsh-Ellett Hall 208,15,15,Closed,Writing Intensive,NA
10412,POLS,203,A,The Presidency,4,C Brockett,MW,1100,1215,,NA,NA,Walsh-Ellett Hall 210,35,35,Closed,,NA
10416,POLS,332,A,Contemporary Constitutional Law,4,R Pearigen,TR,930,1045,,NA,NA,Walsh-Ellett Hall 210,25,25,Closed,Instructor permission required,NA
10491,POLS,373,A,African-American Political Thought,4,G McKeen,TR,1100,1215,,NA,NA,Walsh-Ellett Hall 312,25,11,Available: 14,,NA
10421,POLS,390,A,The United Nations,4,E Dunn,MW,1100,1215,,NA,NA,Walsh-Ellett Hall 208,25,9,Available: 16,,NA
10559,RELG,391,A,Southern Religion,4,J Smith,MWF,1000,1050,,NA,NA,duPont Library G31,14,28,Closed,,NA
Anthropology,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
10382,ANTH,104,A,Introductory Cultural Anthropology,4,R O'Connor,MWF,900,950,,NA,NA,Woods Laboratories 342,20,20,Closed,Reserved Seats: sophomores-6 (none available), returning freshmen-8 (none available),NA
10383,ANTH,104,B,Introductory Cultural Anthropology,4,R O'Connor,MWF,1000,1050,,NA,NA,Woods Laboratories 342,20,22,Closed,Reserved Seats: sophomores-6 (none available), returning freshmen-8 (none available),NA
10384,ANTH,104,C,Introductory Cultural Anthropology,4,C Ray,MWF,1100,1150,,NA,NA,Woods Laboratories 342,20,22,Closed,Reserved Seats: sophomores-6 (1 available), returning freshmen-10 (none available),NA
10385,ANTH,104,D,Introductory Cultural Anthropology,4,C Ray,MWF,1200,1250,,NA,NA,Woods Laboratories 342,20,22,Closed,Reserved Seats: sophomores-5 (none available), returning freshmen-8 (none available),NA
10386,ANTH,107,A,Human Evolution and Variation,4,D Murdock,TR,800,915,,NA,NA,Woods Laboratories 342,20,20,Closed,Reserved Seats: sophomores-6 (1 available), returning freshmen-10 (none available),NA
10393,ANTH,201,A,Global Problems: Anthropology and Contemporary Issues,4,W Leggett,TR,1300,1415,,NA,NA,Woods Laboratories 342,18,21,Closed,,NA
10390,ANTH,202,A,World Prehistory,4,C Ray,MW,1400,1515,,NA,NA,Woods Laboratories 230,20,22,Closed,Reserved Seats: sophomores-5 (none available), returning freshmen-5 (none available),NA
10391,ANTH,307,A,The Archaeology of Southeastern United States,4,M McCollough,W,1530,1830,,NA,NA,Woods Laboratories 301,15,4,Available: 11,Prerequisite: ANTH 106,NA
10392,ANTH,310,A,Topics in Archaeology and Historic Preservation,4,M McCollough,TBA,NA,NA,,NA,NA,TBA,15,0,Available: 15,Prerequisites: ANTH 106 and (ANTH 307 or ANTH 309 or ANTH 313); Instructor permission required,NA
10681,ANTH,317,A,The Anthropology of Development,4,D Murdock,TR,1100,1215,,NA,NA,Woods Laboratories 342,15,14,Available: 1,Prerequisite: ANTH 104,NA
10682,ANTH,342,A,Southeast Asia: An Introduction through Literature,4,R Kipp,R,1330,1600,,NA,NA,Woods Laboratories 103,16,7,Available: 9,Prerequisite: ANTH 104,NA
10388,ANTH,390,A,Social Theory,4,J Hamer,TR,930,1045,,NA,NA,Woods Laboratories 342,15,11,Available: 4,,NA
10387,ANTH,402,A,Senior Seminar,4,D Murdock,M,1300,1530,,NA,NA,Woods Laboratories 342,15,6,Available: 9,,NA
Art and Art History,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
10581,ART,103,A,Introduction to Lens and Time-based Media,4,P Malde,TR,1100,1215,M,1400,1630,duPont Library G31,15,16,Closed,Instructor permission required; Studio Art Fee-Malde: $100,NA
10683,ART,104,A,Introduction to Three- and Four-Dimensional Media,4,G Pond,W,1330,1630,,NA,NA,duPont Library G26,15,16,Closed,Instructor permission required; Priority given to ArtS majors and first-year students; Studio Art Fee-Malde: $115,NA
10712,ART,105,A,Introduction to Painting and Drawing Processes and Theory,4,E Carlos,F,1300,1700,,NA,NA,Carnegie Hall 201,15,15,Closed,Reserved Seats: returning freshmen-5 (none available),NA
10582,ART,251,A,Intermediate Drawing,4,E Carlos,R,1300,1700,,NA,NA,Carnegie Hall 201,15,14,Available: 1,Prerequisite: ART 151,NA
10711,ART,263,A,Documentary Studies in Lens and Time Based Media,4,P Malde,R,1400,1630,,NA,NA,duPont Library G31,15,10,Available: 5,Prerequisites: ART 103 or ART 131,NA
10679,ART,281,A,Intermediate Sculpture,4,G Pond,R,1330,1630,,NA,NA,Dairy Sculpture Studio ,6,6,Closed,Prerequisite: ART 181; Sculpture Fee: $175,NA
10583,ART,351,A,Advanced Drawing,4,E Carlos,R,1300,1700,,NA,NA,Carnegie Hall 201,15,2,Available: 13,Prerequisite: ART 251,NA
10680,ART,381,A,Advanced Sculpture,4,G Pond,R,1330,1630,,NA,NA,Dairy Sculpture Studio ,6,0,Available: 6,Prerequisite: ART 281; Sculpture Fee: $175,NA
10684,ART,416,A,Symbolizing the Self,4,C Bucklow,F,1400,1630,,NA,NA,Carnegie Hall 304,15,9,Available: 6,,NA
10748,ART,419,A,Junior Tutorial in Art-II,4,P Malde,T,1330,1630,,NA,NA,Carnegie Hall 306,25,8,Available: 17,Open only to juniors pursuing majors in art,NA
10578,ART,430,A,Senior Seminar,4,G Pond,T,1330,1630,,NA,NA,Carnegie Hall 306,25,14,Available: 11,Writing Intensive; Open only to seniors pursuing majors in art,NA
10685,ART,432,A,Directed Projects with Visiting Artists,4,C Bucklow,W,1400,1630,,NA,NA,Carnegie Hall 304,15,6,Available: 9,Open only to students pursuing majors in art,NA
10570,ARTH,103,A,Survey of Western Art I,4,G Clark,MW,1100,1215,,NA,NA,Carnegie Hall 302,20,23,Closed,Reserved Seats: seniors-5 (none available), juniors-5 (none available), sophomores-5 (none available), returning freshmen-5 (none available); Waitlist - contact instructor,NA
10574,ARTH,104,A,Survey of Western Art II,4,M Brennecke,MWF,1000,1050,,NA,NA,Carnegie Hall 306,20,20,Closed,,NA
10575,ARTH,104,B,Survey of Western Art II,4,M Brennecke,MWF,1100,1150,,NA,NA,Carnegie Hall 306,20,22,Closed,,NA
10332,ARTH,107,A,The Films of Alfred Hitchcock,4,L Richardson,TR,1100,1215,,NA,NA,duPont Library G26,15,20,Closed,Instructor permission required,NA
10579,ARTH,317,A,Junior Seminar,4,C Mansfield,M,1400,1630,,NA,NA,Carnegie Hall 304,10,10,Closed,Writing Intensive; ArtH majors & minors only,NA
10580,ARTH,317,B,Junior Seminar,4,C Mansfield,T,1400,1630,,NA,NA,Carnegie Hall 304,10,8,Available: 2,Writing Intensive; ArtH majors & minors only,NA
10571,ARTH,326,A,Northern Renaissance Art,4,G Clark,TR,930,1045,,NA,NA,Carnegie Hall 302,20,18,Available: 2,Prerequisites: ARTH 103 or ARTH 104 or HUMN 102,NA
10572,ARTH,326,B,Northern Renaissance Art,4,G Clark,TR,1100,1215,,NA,NA,Carnegie Hall 302,20,21,Closed,Prerequisites: ARTH 103 or ARTH 104 or HUMN 102; Waitlist - contact instructor,NA
10573,ARTH,335,A,Nineteenth-Century Art,4,M Brennecke,TR,930,1045,,NA,NA,Carnegie Hall 306,20,18,Available: 2,Prerequisites: ARTH 104 or HUMN 202,NA
10576,ARTH,348,A,Reframing Architecture and the Decorative Arts: Arts and Crafts, Art Nouveau, and Art Deco,4,M Oba,TR,1300,1415,,NA,NA,Carnegie Hall 302,20,1,Available: 19,Prerequisites: ARTH 104 or HUMN 202,NA
Asian Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
10682,ANTH,342,A,Southeast Asia: An Introduction through Literature,4,R Kipp,R,1330,1600,,NA,NA,Woods Laboratories 103,16,7,Available: 9,Prerequisite: ANTH 104,NA
10315,ASIA,100,A,Introduction to Asian Studies,4,J Oba,TR,1100,1215,,NA,NA,St. Luke's 214,25,25,Closed,,NA
10686,ASIA,204,A,Introduction to Contemporary Chinese Cinema,4,J Xiao,T,1300,1530,,NA,NA,St. Luke's 214,25,26,Closed,,NA
10311,CHIN,104,A,Elementary Chinese II,4,J Xiao,MW,900,950,TR,930,1020,Guerry Hall 205,15,4,Available: 11,Prerequisite: CHIN 103,NA
10312,CHIN,301,A,Advanced Chinese,4,J Xiao,MW,1400,1450,R,1400,1450,Guerry Hall 205,15,6,Available: 9,Prerequisite: CHIN 203,NA
10536,ECON,309,A,Women in the Economy,4,Y Mohiuddin,R,1400,1630,,NA,NA,Walsh-Ellett Hall 306,20,20,Closed,Writing Intensive; Prerequisite: ECON 101,NA
10627,HIST,212,A,History of China and East Asia II,4,H Goldberg,TR,930,1045,,NA,NA,Walsh-Ellett Hall 308,25,27,Closed,,NA
10313,JAPN,104,A,Elementary Japanese II,4,M Oba,MWF,1000,1050,R,1500,1550,Guerry Hall 204,15,7,Available: 8,Prerequisite: JAPN 103,NA
10314,JAPN,301,A,Composition and Conversation,4,M Oba,MWF,1100,1150,,NA,NA,Guerry Hall 131,15,5,Available: 10,Prerequisite: JAPN 203,NA
10687,MUSC,211,A,“Songs of the Caged, Songs of the Free”: Music, Place, and Identity in Asian Diasporas,4,J Oba,TR,930,1045,,NA,NA,St. Luke's 214,20,9,Available: 11,Prerequisites: ASIA 100 or MUSC 101 or MUSC 105,NA
10565,PHIL,215,A,Chinese Philosophy,4,J Peterman,MF,1100,1215,,NA,NA,St. Luke's 210,20,19,Available: 1,,NA
10419,POLS,360,A,Chinese Politics,4,D Waller,W,1400,1630,,NA,NA,St. Luke's 100,25,16,Available: 9,,NA
10555,RELG,162,A,Introduction to Asian Religions,4,S Brown,MWF,900,950,,NA,NA,Walsh-Ellett Hall 204,22,24,Closed,Waitlist - contact instructor,NA
10556,RELG,162,B,Introduction to Asian Religions,4,S Brown,MWF,1100,1150,,NA,NA,Walsh-Ellett Hall 204,22,22,Closed,Reserved Seats: sophomores-10 (1 available), returning freshmen-12 (2 available); Waitlist - contact instructor,NA
