CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,
20648,AMST,150,A,Introduction to Africana and African American Studies,4,H Roberson,MW,1300,1415,,NA,NA,Walsh-Ellett Hall 206,20,21,Closed,,
20649,AMST,420,A,Senior Research Seminar,4,W Register,F,1400,1630,,NA,NA,Walsh-Ellett Hall 312,20,4,Available: 16,Writing Intensive; Open only to students pursuing majors in American studies,
20522,ANTH,301,A,American Culture,4,R O'Connor,TR,930,1045,,NA,NA,Woods Laboratories 342,16,16,Closed,Instructor permission required,
20636,ENGL,377,A,American Literature I,4,E Grammer,TR,1330,1445,,NA,NA,Gailor Hall 110,20,20,Closed,Prerequisites: ENGL 101 or HUMN 101,
20639,ENGL,391,A,Modern American Poetry,4,B Clarkson,MWF,1100,1150,,NA,NA,Gailor Hall 114,25,21,Available: 4,Prerequisites: ENGL 101 or HUMN 101,
20640,ENGL,392,A,Modern American Fiction,4,T Carlson,TR,1100,1215,,NA,NA,duPont Library 215,15,12,Available: 3,Prerequisites: ENGL 101 or HUMN 101; Instructor permission required,
20641,ENGL,393,A,Faulkner,4,T Carlson,MW,1300,1415,,NA,NA,duPont Library 215,9,6,Available: 3,Writing Intensive; Prerequisites: ENGL 101 or HUMN 101,
20642,ENGL,396,A,American Environmental Literature,4,J Gatta,MWF,900,950,,NA,NA,Walsh-Ellett Hall 202,15,7,Available: 8,Writing Intensive; Prerequisites: ENGL 101 or HUMN 101,
20643,ENGL,398,A,Contemporary American Poetry,4,W Prunty,M,1400,1630,,NA,NA,Gailor Hall 114,15,8,Available: 7,Writing Intensive; Prerequisites: ENGL 101 or HUMN 101,
20573,HIST,201,A,History of the United States I,4,B Walker,TR,1100,1215,,NA,NA,Walsh-Ellett Hall 304,25,25,Closed,Prerequisites: HIST 100 or (HUMN 101 and HUMN 102),
20578,HIST,227,A,Intellectual and Cultural History of the United States I,4,H Roberson,MW,1430,1545,,NA,NA,Walsh-Ellett Hall 202,20,15,Available: 5,Prerequisites: HIST 100 or (HUMN 101 and HUMN 102),
20579,HIST,229,A,The Many Faces of Sewanee,4,J Willis,MW,1300,1415,,NA,NA,Walsh-Ellett Hall 202,15,15,Closed,Writing Intensive; Community Engagement; Open only to sophomores; Prerequisites: HIST 100 or (HUMN 101 and HUMN 102); Waitlist - contact instructor,
20584,HIST,325,A,Revolutionary America,4,J Willis,TR,1100,1215,,NA,NA,Walsh-Ellett Hall 204,15,16,Closed,Prerequisites: HIST 100 or (HUMN 101 and HUMN 102); Waitlist - contact instructor,
20586,HIST,347,A,The American Civil Rights Movement,4,H Roberson,T,1330,1600,,NA,NA,Walsh-Ellett Hall 208,15,14,Available: 1,Prerequisites: HIST 100 or (HUMN 101 and HUMN 102),
20534,POLS,204,A,Legislative Process,4,A Hatcher,MW,1300,1415,,NA,NA,Walsh-Ellett Hall 302,25,25,Closed,,
20483,PSYC,403,A,Psychology and Popular Culture in the U.S.,4,N Barenbaum,M,1400,1700,,NA,NA,Woods Laboratories 340,14,15,Closed,Prerequisites: Four courses in any combination from psychology and American studies,
20604,RELG,393,A,Rural Religion,4,J Smith,MW,1100,1150,R,1330,1630,duPont Library G31,16,16,Closed,Community Engagement,
Anthropology,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,
20517,ANTH,104,A,Introductory Cultural Anthropology,4,D Murdock,MWF,800,850,,NA,NA,Woods Laboratories 342,24,24,Closed,,
20518,ANTH,104,B,Introductory Cultural Anthropology,4,R O'Connor,MWF,1100,1150,,NA,NA,Woods Laboratories 342,15,13,Available: 2,Writing Intensive; Community Engagement; Waitlist - contact instructor,
20519,ANTH,104,C,Introductory Cultural Anthropology,4,R O'Connor,MWF,1000,1050,,NA,NA,Woods Laboratories 342,15,16,Closed,Writing Intensive; Community Engagement; Waitlist - contact instructor,
20520,ANTH,104,D,Introductory Cultural Anthropology,4,D Jones,TR,1100,1215,,NA,NA,Woods Laboratories 342,24,24,Closed,,
20521,ANTH,290,A,Women in Cross-Cultural Perspective,4,D Murdock,MWF,1100,1150,,NA,NA,Woods Laboratories 340,15,14,Available: 1,Writing Intensive; Prerequisites: ANTH 104 or WMST 100,
20522,ANTH,301,A,American Culture,4,R O'Connor,TR,930,1045,,NA,NA,Woods Laboratories 342,16,16,Closed,Instructor permission required,
20850,ANTH,306,A,American Indians,4,D Jones,W,1300,1530,,NA,NA,Woods Laboratories 342,20,20,Closed,,
20523,ANTH,399,A,Anthropology of Education,4,M Wallace,R,1330,1630,,NA,NA,duPont Library G9D,15,15,Closed,Writing Intensive; Community Engagement; Prerequisites: One course in education or anthropology,
20863,ANTH,401,A,Anthropological Field Methods,4,D Jones,T,1330,1600,,NA,NA,Woods Laboratories 342,7,6,Available: 1,Writing Intensive; Open only to students pursuing majors in anthropology,
Art and Art History,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,
20699,ART,103,A,Introduction to Lens and Time-based Media,4,J Plakas,WF,800,850,F,1400,1630,Nabit Art Building 103,12,12,Closed,Reserved Seats: returning freshmen-6 (none available); Instructor permission required; Studio Art Fee-Malde: $350,
20700,ART,104,A,Introduction to Three- and Four-Dimensional Media,4,G Pond,R,1400,1630,,NA,NA,Nabit Art Building 103,16,16,Closed,Reserved Seats: returning freshmen-6 (none available); Instructor permission required; Studio Art Fee-Pond: $150,
20701,ART,105,A,Introduction to Painting and Drawing Processes and Theory,4,J Wohl,M,1400,1630,,NA,NA,Nabit Art Building 102,15,16,Closed,Reserved Seats: returning freshmen-6 (none available); Instructor permission required; Studio Art Fee-Wohl: $150,
20702,ART,231,A,Intermediate Digital Arts,4,L Deleot,T,1400,1630,,NA,NA,Nabit Art Building 103,16,3,Available: 13,Prerequisite: ART 103; Studio Art Fee-Malde: $350,
20703,ART,243,A,Intermediate Video Production,4,G Pond,W,1400,1630,,NA,NA,Nabit Art Building 103,8,7,Available: 1,Prerequisites: ART 104 or ART 143; Studio Art Fee-Pond: $35,
20704,ART,251,A,Intermediate Drawing,4,J Wohl,W,1400,1630,,NA,NA,Nabit Art Building 102,8,8,Closed,Prerequisites: ART 105 or ART 151; Studio Art Fee-Wohl: $200,G2: Understanding the Arts
20705,ART,263,A,Intermediate Documentary Projects in Photography,4,D McGrath,R,1400,1630,,NA,NA,duPont Library G31,16,5,Available: 11,Instructor permission required; Studio Art Fee-Malde: $450,G2: Understanding the Arts
20706,ART,291,A,Intermediate Painting,4,J Wohl,T,1400,1630,,NA,NA,Nabit Art Building 102,8,7,Available: 1,Prerequisites: ART 105 or ART 191; Studio Art Fee-Wohl: $275,G2: Understanding the Arts
20707,ART,331,A,Advanced Projects in Digital Arts,4,L Deleot,T,1400,1630,,NA,NA,Nabit Art Building 103,16,3,Available: 13,Prerequisite: ART 231; Studio Art Fee-Malde: $350,
20708,ART,343,A,Advanced Video Production,4,G Pond,W,1300,1530,,NA,NA,Nabit Art Building 103,6,3,Available: 3,Prerequisite: ART 243; Studio Art Fee-Pond: $35,
20860,ART,347,A,Scene Painting,4,D Backlund,R,1100,1215,R,1400,1700,Tennessee Williams Center 114,8,4,Available: 4,Instructor permission required,
20709,ART,351,A,Advanced Drawing,4,J Wohl,W,1400,1630,,NA,NA,Nabit Art Building 102,8,4,Available: 4,Prerequisite: ART 251; Studio Art Fee-Wohl: $200,
20710,ART,363,A,Advanced Documentary Projects in Photography,4,D McGrath,R,1400,1630,,NA,NA,duPont Library G31,16,5,Available: 11,Prerequisite: ART 263; Studio Art Fee-Malde: $450,
20711,ART,391,A,Advanced Painting,4,J Wohl,T,1400,1630,,NA,NA,Nabit Art Building 102,8,2,Available: 6,Prerequisite: ART 291; Studio Art Fee-Wohl: $275,
20712,ART,420,A,Seminar in Creativity,4,G Pond,M,1400,1630,,NA,NA,Nabit Art Building 103,16,14,Available: 2,Writing Intensive; Open only to seniors pursuing majors in art,
20695,ARTH,103,A,Survey of Western Art I,4,J Musto,MWF,900,950,,NA,NA,Guerry Hall 1,20,20,Closed,,
20696,ARTH,103,B,Survey of Western Art I,4,J Musto,MWF,1100,1150,,NA,NA,Guerry Hall 1,20,20,Closed,,
20697,ARTH,104,A,Survey of Western Art II,4,J Thompson,TR,930,1045,,NA,NA,Guerry Hall 1,20,19,Available: 1,,
20698,ARTH,104,B,Survey of Western Art II,4,J Thompson,TR,1330,1445,,NA,NA,Guerry Hall 1,20,20,Closed,,
20838,ARTH,108,A,History of Film: Invention to Mid-Century,4,J Thompson,MW,1430,1545,,NA,NA,Gailor Hall 011,16,18,Closed,,
20692,ARTH,206,A,History of Architecture,4,J Musto,TR,1330,1445,,NA,NA,Spencer Hall 164,16,9,Available: 7,Prerequisite: ARTH 103,
20693,ARTH,335,A,Nineteenth-Century Art,4,M Brennecke,MW,1430,1545,,NA,NA,Walsh-Ellett Hall 210,16,7,Available: 9,Prerequisites: ARTH 104 or HUMN 202,
20694,ARTH,338,A,British Art,4,M Brennecke,TR,1100,1215,,NA,NA,Spencer Hall 151,16,8,Available: 8,Prerequisite: ARTH 104,
Asian Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,
20380,ASIA,203,A,Chinese Martial Arts Cinema,4,W Yang,TR,1100,1215,,NA,NA,Gailor Hall 011,20,22,Closed,,
20690,ASIA,233,A,The Fantastical World of <em>Anime</em>,4,N Carter,TR,930,1045,,NA,NA,Gailor Hall 011,25,21,Available: 4,Reserved Seats: returning freshmen-5 (3 available),
20378,CHIN,103,A,Elementary Chinese I,4,W Yang,MWF,1000,1050,T,1230,1320,Gailor Hall 103,18,11,Available: 7,,
20379,CHIN,203,A,Intermediate Chinese,4,W Yang,MWF,1100,1150,R,1230,1320,Gailor Hall 230,18,5,Available: 13,Prerequisites: CHIN 104 or placement,
20575,HIST,211,A,History of China and East Asia I,4,H Goldberg,TR,1330,1445,,NA,NA,Walsh-Ellett Hall 304,25,26,Closed,Prerequisites: HIST 100 or (HUMN 101 and HUMN 102),
20381,JAPN,103,A,Elementary Japanese I,4,N Carter,MWF,900,950,T,1230,1320,Gailor Hall 225,18,18,Closed,,
20382,JAPN,203,A,Intermediate Japanese,4,N Carter,MWF,1100,1150,R,1230,1320,Gailor Hall 225,18,9,Available: 9,Prerequisites: JAPN 104 or placement,
20536,POLS,249,A,China and the World,4,S Wilson,MW,1430,1545,,NA,NA,Walsh-Ellett Hall 206,25,26,Closed,,
20598,RELG,162,A,Introduction to Asian Religions,4,S Brown,MWF,900,950,,NA,NA,Walsh-Ellett Hall 210,18,19,Closed,Reserved Seats: returning freshmen-5 (none available),
20599,RELG,162,B,Introduction to Asian Religions,4,S Brown,MWF,1100,1150,,NA,NA,Walsh-Ellett Hall 210,18,21,Closed,Reserved Seats: returning freshmen-5 (none available),
Biology,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,
20434,BIOL,130,A,Field Investigations in Biology,4,D Haskell,M,1330,1700,,NA,NA,Woods Laboratories G10,18,16,Available: 2,Non-Lab Science; Open only to freshmen and sophomores; Reserved Seats: returning freshmen-9 (1 available),
20435,BIOL,130,B,Field Investigations in Biology,4,K Zigler,T,1330,1700,,NA,NA,Woods Laboratories G10,18,18,Closed,Non-Lab Science; Open only to freshmen and sophomores; Reserved Seats: returning freshmen-9 (4 available),
20436,BIOL,130,C,Field Investigations in Biology,4,D McGrath,W,1330,1700,,NA,NA,Woods Laboratories G10,18,17,Available: 1 Reserved,Non-Lab Science; Open only to freshmen and sophomores; Reserved Seats: returning freshmen-9 (2 available),
20437,BIOL,130,D,Field Investigations in Biology,4,J Evans,R,1330,1700,,NA,NA,Woods Laboratories G10,18,17,Available: 1,Non-Lab Science; Open only to freshmen and sophomores; Reserved Seats: returning freshmen-9 (none available),
20438,BIOL,133,A,Introductory Molecular Biology,4,J Palisano,MWF,900,950,,NA,NA,Spencer Hall 257,18,15,Available: 3,Non-Lab Science; Open only to freshmen and sophomores; Reserved Seats: returning freshmen-9 (1 available),
20439,BIOL,133,B,Introductory Molecular Biology,4,J Verdoni,MWF,1000,1050,,NA,NA,Spencer Hall 257,18,18,Closed,Non-Lab Science; Open only to freshmen and sophomores; Reserved Seats: returning freshmen-9 (none available),
20440,BIOL,133,C,Introductory Molecular Biology,4,N Berner,MWF,1100,1150,,NA,NA,Spencer Hall 257,18,18,Closed,Non-Lab Science; Open only to freshmen and sophomores; Reserved Seats: returning freshmen-9 (none available),
20441,BIOL,200,A,Entomology,4,K Zigler,M,1330,1630,,NA,NA,Spencer Hall 173,16,16,Closed,Non-Lab Science; Open only to juniors and seniors; Prerequisites: BIOL 130 or BIOL 131,
20442,BIOL,203,A,Comparative Vertebrate Anatomy (Lab),4,N Berner,MWF,800,950,,NA,NA,Woods Laboratories 128,16,12,Available: 4,Lab Science; Prerequisites: BIOL 130 or BIOL 131 or BIOL 132,
20443,BIOL,206,A,Plant Ecology (Lab),4,J Evans,TR,1100,1215,T,1330,1630,Spencer Hall 173,16,13,Available: 3,Lab Science; Prerequisites: One course in biology,
20444,BIOL,211,A,Biodiversity: Pattern and Process (Lab),4,D Haskell,MWF,900,950,,NA,NA,Spencer Hall 151,30,18,Available: 12,Lab Science; Prerequisites: BIOL 130 or BIOL 131,
20445,BIOL,211,L1,Biodiversity: Pattern and Process (Lab),0,D Haskell,R,1330,1630,,NA,NA,Spencer Hall 257,15,8,Available: 7,Lab Science; Prerequisites: BIOL 130 or BIOL 131,
20446,BIOL,211,L2,Biodiversity: Pattern and Process (Lab),0,K Zigler,W,1330,1630,,NA,NA,Spencer Hall 257,15,10,Available: 5,Lab Science; Prerequisites: BIOL 130 or BIOL 131,
20447,BIOL,219,A,The Molecular Revolution in Medicine,4,A Summers,MWF,1000,1050,,NA,NA,Spencer Hall 164,16,16,Closed,Non-Lab Science; Prerequisite: BIOL 132,
20448,BIOL,232,A,Human Health and the Environment (Lab),4,D McGrath,TR,930,1045,R,1330,1630,Spencer Hall 164,16,16,Closed,Lab Science; Community Engagement; Prerequisites: BIOL 130 or BIOL 131,
20449,BIOL,233,A,Intermediate Cell and Molecular Biology (Lab),4,J Verdoni,MWF,1100,1150,T,1330,1630,Spencer Hall 271,16,9,Available: 7,Lab Science; Writing Intensive; Prerequisites: BIOL 133 and CHEM 120,
20450,BIOL,280,A,Molecular Genetics (Lab),4,A Summers,TR,1100,1215,R,1330,1630,Spencer Hall 164,16,4,Available: 12,Lab Science; Prerequisites: BIOL 132 or BIOL 133,
20451,BIOL,301,A,Genetics,4,L Jones,MW,1100,1215,,NA,NA,Spencer Hall 164,16,18,Closed,Non-Lab Science; Open only to seniors; Prerequisites: Two courses in biology at the 300 level and CHEM 120,
20840,BIOL,307,A,Mechanistic Biochemistry (Lab),4,B Seballos,MWF,1000,1050,R,1330,1700,Spencer Hall 262,16,10,Available: 6,Lab Science; Writing Intensive; Prerequisite: CHEM 201,
20452,BIOL,340,A,Microbiology (Lab),4,J Palisano,TR,800,1045,,NA,NA,Spencer Hall 151,16,12,Available: 4,Lab Science; Prerequisites: BIOL 233 and CHEM 102 or 111 or 120,
Chemistry,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,
