CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,NA,,,NA,NA,,NA,NA,,NA,NA,,,
45419,AMST,333,A,Junior Seminar,4,J Berebitsky,M,1400,1630,,NA,NA,Walsh-Ellett Hall 312,15,7,Available: 8,Consent of professor required for late entry,
45671,ARTH,212,A,American Animation, 1910-1960,4,G Clark,TR,800,915,,NA,NA,Carnegie Hall 302,20,21,Closed,Reserved Seats: returning freshmen-8 (1 available); Consent of professor required for late entry,G2: Understanding the Arts
45704,ENGL,330,A,The Life and Literature of Tennessee Williams,4,V Craighill,MW,1300,1415,,NA,NA,Gailor Hall 130,25,24,Available: 1,Prerequisites: ENGL 101 or HUMN 101; Consent of professor required for late entry,
45715,ENGL,378,A,American Literature II,4,E Grammer,TR,1330,1445,,NA,NA,Gailor Hall 110,20,22,Closed,Prerequisites: ENGL 101 or HUMN 101; Consent of professor required for late entry,
45888,ENGL,392,A,Modern American Fiction,4,T Carlson,TR,1100,1215,,NA,NA,duPont Library 215,15,13,Available: 2,Prerequisites: ENGL 101 or HUMN 101; Consent of professor required for late entry,
45718,ENGL,397,A,Contemporary American Fiction,4,T Carlson,W,1400,1630,,NA,NA,duPont Library 215,15,14,Available: 1,Writing Intensive; Prerequisites: ENGL 101 or HUMN 101; Consent of professor required for late entry,
45719,ENGL,398,A,Contemporary American Poetry,4,W Prunty,M,1400,1630,,NA,NA,Gailor Hall 202,15,15,Closed,Writing Intensive; Prerequisites: ENGL 101 or HUMN 101; Consent of professor required for late entry,
45769,HIST,202,A,History of the United States II,4,H Roberson,TR,930,1045,,NA,NA,Walsh-Ellett Hall 202,25,28,Closed,Consent of professor required for late entry,G4: Exploring Past and Present
45855,HIST,322,A,Southern Lives,4,J Willis,MW,1300,1415,,NA,NA,Walsh-Ellett Hall 202,15,16,Closed,Prerequisites: HIST 100 or (HUMN 101 and HUMN 102); Waitlist - contact instructor,
45867,HIST,347,A,The American Civil Rights Movement,4,H Roberson,W,1430,1700,,NA,NA,Walsh-Ellett Hall 310,15,14,Available: 1,Community Engagement; Prerequisites: HIST 100 or (HUMN 101 and HUMN 102); Consent of professor required for late entry,
45882,HIST,493,A,The Civil War and American Historical Memory,4,J McCardell,T,1900,2300,,NA,NA,Walsh-Ellett Hall 204,15,18,Closed,Open only to seniors; Consent of professor required for late entry,
45580,POLS,203,A,The Presidency,4,A Hatcher,TR,1330,1445,,NA,NA,Walsh-Ellett Hall 210,25,26,Closed,Consent of professor required for late entry,G4: Exploring Past and Present
