CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,
65414,AMST,333,A,Junior Seminar,4,W Register,M,1400,1630,,NA,NA,Archives & Special Collections 201,15,6,Available: 9,Open only to students pursuing majors in American studies; Consent of professor required for late entry,
65420,ANTH,301,A,American Culture,4,R O'Connor,TR,930,1045,,NA,NA,Woods Laboratories 342,18,17,Available: 1,Consent of professor required for late entry,
65428,ARTH,212,A,American Animation, 1910-1960,4,G Clark,TR,800,915,,NA,NA,Carnegie Hall 302,24,24,Closed // Waitlist: 0,Reserved Seats: returning freshmen-8 (none available); Consent of professor required for late entry,G2: Understanding the Arts
65513,ENGL,212,A,Studies in Literature: Slavery and Race,4,E Grammer,TR,1330,1445,,NA,NA,Gailor Hall 132,15,14,Available: 1 Reserved,Reserved Seats: returning freshmen-5 (1 available); Prerequisites: One course with attribute G1 including AP or IB credit; Consent of professor required for late entry,GFWI: Foundational Writing Intensive
65500,ENGL,330,A,The Life and Literature of Tennessee Williams,4,V Craighill,MW,1400,1515,,NA,NA,Gailor Hall 130,25,25,Closed // Waitlist: 0,Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
65508,ENGL,378,A,American Literature II,4,J Grammer,TR,930,1045,,NA,NA,Gailor Hall 110,25,25,Closed // Waitlist: 0,Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
65512,ENGL,394,A,Literature of the American South,4,T Carlson,TR,1500,1615,,NA,NA,duPont Library 215,15,15,Closed // Waitlist: 0,Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
65515,ENGL,397,A,Contemporary American Fiction,4,T Carlson,W,1400,1630,,NA,NA,duPont Library 215,15,14,Available: 1,Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
65514,ENGL,398,A,American Poetry Since World War II,4,W Prunty,M,1400,1630,,NA,NA,Gailor Hall 114,15,13,Available: 2,GMWI: Upper-Level (Major) Writing Intensive; Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
