CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
10005,AMST,420,A,Senior Research Seminar,4,G McKeen,T,1400,1630,,NA,NA,Walsh-Ellett Hall 204,15,8,Available: 7,Writing Intensive,NA
10016,ANTH,307,A,The Archaeology of Southeastern United States,4,M McCollough,W,1530,1830,,NA,NA,Woods Laboratories 301,15,3,Available: 12,Prerequisite: ANTH 106; Instructor permission required,NA
10130,ENGL,377,A,American Literature I,4,J Grammer,MWF,1100,1150,,NA,NA,St. Luke's 102,30,29,Available: 1,,NA
10133,ENGL,391,A,Modern American Poetry,4,B Clarkson,MWF,900,950,,NA,NA,St. Luke's 210,30,20,Available: 10,,NA
10153,HIST,201,A,History of the United States I,4,W Register,TR,930,1045,,NA,NA,St. Luke's 112,25,29,Closed,,NA
10157,HIST,227,A,Intellectual and Cultural History of the United States I,4,H Roberson,MWF,900,950,,NA,NA,Walsh-Ellett Hall 210,20,24,Closed,,NA
10162,HIST,318,A,African American Women and Religion,4,H Roberson,M,1400,1630,,NA,NA,Walsh-Ellett Hall 208,15,8,Available: 7,Writing Intensive,NA
10164,HIST,322,A,Southern Lives,4,J Willis,TR,1100,1215,,NA,NA,Woods Laboratories 342,15,18,Closed,Writing Intensive,NA
10165,HIST,325,A,Revolutionary America,4,J Willis,MW,1100,1215,,NA,NA,Woods Laboratories 342,15,18,Closed,Writing Intensive,NA
10166,HIST,332,A,Twentieth Century American Culture,4,W Register,MW,1300,1415,,NA,NA,Walsh-Ellett Hall 308,15,16,Closed,Writing Intensive,NA
10327,POLS,204,A,Legislative Process,4,T Kazee,MWF,900,950,,NA,NA,Walsh-Ellett Hall 304,25,24,Available: 1,,NA
10331,POLS,331,A,Introduction to Constitutional Law,4,R Pearigen,TR,930,1045,,NA,NA,Walsh-Ellett Hall 210,25,23,Available: 2,,NA
10333,POLS,373,A,African-American Political Thought,4,G McKeen,MWF,1300,1350,,NA,NA,St. Luke's 204,25,15,Available: 10,,NA
10428,RELG,393,A,Rural Religion,4,J Smith,MWF,1100,1150,R,1300,1630,Walsh-Ellett Hall 308,15,18,Closed,,NA
Anthropology,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
10007,ANTH,104,A,Introductory Cultural Anthropology,4,R O'Connor,MWF,800,850,,NA,NA,Woods Laboratories 342,20,20,Closed,Reserved Seats: sophomores-6 (none available), returning freshmen-10 (none available),NA
10008,ANTH,104,B,Introductory Cultural Anthropology,4,R O'Connor,MWF,900,950,,NA,NA,Woods Laboratories 342,20,19,Available: 1,Reserved Seats: sophomores-6 (1 available), returning freshmen-10 (none available),NA
10009,ANTH,104,C,Introductory Cultural Anthropology,4,C Ray,MWF,1000,1050,,NA,NA,Woods Laboratories 342,20,23,Closed,Reserved Seats: sophomores-6 (none available), returning freshmen-10 (none available),NA
10010,ANTH,106,A,Introductory Physical Anthropology and Archaeology,4,P Heck,TR,800,915,,NA,NA,Woods Laboratories 342,25,22,Available: 3 Reserved,Reserved Seats: sophomores-8 (1 available), returning freshmen-12 (12 available),NA
10011,ANTH,106,B,Introductory Physical Anthropology and Archaeology,4,P Heck,TR,930,1045,,NA,NA,Woods Laboratories 342,25,27,Closed,Reserved Seats: sophomores-8 (none available), returning freshmen-12 (2 available),NA
10012,ANTH,204,A,Anthropology of Education,4,R O'Connor,M,1400,1630,,NA,NA,Woods Laboratories 342,12,11,Available: 1,Writing Intensive; Instructor permission required,NA
10013,ANTH,222,A,Celtic Culture and Archaeology,4,C Ray,R,1400,1630,,NA,NA,Woods Laboratories 113,25,25,Closed,,NA
10014,ANTH,298,A,Environmental Anthropology,4,C Ray,MW,1530,1645,,NA,NA,Woods Laboratories 103,16,24,Closed,,NA
10434,ANTH,306,A,Native Peoples of North America,4,J Hamer,TR,930,1045,,NA,NA,Woods Laboratories 340,15,16,Closed,,NA
10016,ANTH,307,A,The Archaeology of Southeastern United States,4,M McCollough,W,1530,1830,,NA,NA,Woods Laboratories 301,15,3,Available: 12,Prerequisite: ANTH 106; Instructor permission required,NA
10017,ANTH,310,A,Topics in Archaeology,4,M McCollough,TBA,NA,NA,,NA,NA,TBA,15,1,Available: 14,Instructor permission required,NA
10018,ANTH,401,A,Anthropological Field Methods,4,P Heck,W,1230,1500,,NA,NA,TBA,15,9,Available: 6,Instructor permission required,NA
10019,ANTH,444,A,Independent Study,2 - 4,P Heck,TBA,NA,NA,,NA,NA,TBA,25,3,Available: 22,Instructor permission required,NA
10528,ANTH,444,B,Independent Study,2 - 4,M McCollough,TBA,NA,NA,,NA,NA,TBA,15,1,Available: 14,,NA
10547,ANTH,444,C,Independent Study,2 - 4,C Ray,TBA,NA,NA,,NA,NA,TBA,99,1,Available: 98,,NA
Art and Art History,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
10027,ART,131,A,Introduction to Digital Arts,4,R Paris,TR,930,1045,,NA,NA,duPont Library G31,12,14,Closed,Instructor permission required,NA
10028,ART,143,A,Beginning Video Production,4,G Pond,TR,1100,1215,,NA,NA,duPont Library G26,15,16,Closed,Instructor permission required,NA
