CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,
30561,AMST,150,A,Introduction to Africana and African American Studies,4,H Roberson,MW,1430,1545,,NA,NA,Walsh-Ellett Hall 204,20,14,Available: 6,,
30562,AMST,420,A,Senior Research Seminar,4,W Register,F,1400,1630,,NA,NA,Walsh-Ellett Hall 312,15,6,Available: 9,Writing Intensive; Open only to students pursuing majors in American studies,
30675,ARTH,212,A,American Animation, 1910-1960,4,G Clark,TR,800,915,,NA,NA,Carnegie Hall 302,18,20,Closed,Reserved Seats: returning freshmen-6 (1 available),
30676,ARTH,212,B,American Animation, 1910-1960,4,G Clark,TR,930,1045,,NA,NA,Carnegie Hall 302,18,22,Closed,Reserved Seats: returning freshmen-6 (none available),
30849,EDUC,375,A,African Americans and Latino Education,4,H Fontaine,TR,1100,1215,,NA,NA,Carnegie Hall 013,15,7,Available: 8,Writing Intensive; Community Engagement; Prerequisites: One course in education or American studies,
30591,ENGL,330,A,The Life and Literature of Tennessee Williams,4,V Craighill,MW,1300,1415,,NA,NA,Gailor Hall 110,25,24,Available: 1,Prerequisites: ENGL 101 or HUMN 101,
30601,ENGL,377,A,American Literature I,4,E Grammer,TR,1330,1445,,NA,NA,Gailor Hall 110,20,19,Available: 1,Prerequisites: ENGL 101 or HUMN 101,
30603,ENGL,391,A,Modern American Poetry,4,B Clarkson,MWF,1100,1150,,NA,NA,Gailor Hall 114,25,26,Closed,Prerequisites: ENGL 101 or HUMN 101,
30604,ENGL,393,A,Faulkner,4,T Carlson,W,1400,1630,,NA,NA,duPont Library 215,15,9,Available: 6,Writing Intensive; Prerequisites: ENGL 101 or HUMN 101,
30546,HIST,201,A,History of the United States I,4,W Register,MWF,1100,1150,,NA,NA,Walsh-Ellett Hall 302,22,23,Closed,Reserved Seats: juniors-2 (none available), sophomores-20 (4 available),
30551,HIST,237,A,Women in U.S. History, 1600-1870,4,J Berebitsky,TR,1500,1615,,NA,NA,Walsh-Ellett Hall 202,25,12,Available: 13,,
30556,HIST,347,A,The American Civil Rights Movement,4,H Roberson,T,1330,1600,,NA,NA,Walsh-Ellett Hall 204,15,16,Closed,Prerequisites: HIST 100 or (HUMN 101 and HUMN 102),
30534,MUSC,223,A,American Music,4,S Miller,MW,1430,1545,,NA,NA,Guerry Hall 131,16,9,Available: 7,Prerequisites: MUSC 101 or MUSC 105 or MUSC 141 or MUSC 151,
30493,POLS,304,A,American Political Thought,4,G McKeen,TR,1330,1445,,NA,NA,Walsh-Ellett Hall 308,25,14,Available: 11,Open only to sophomores, juniors, and seniors,
30792,POLS,343,A,Visions of Constitutional Order,4,G McKeen,W,1300,1530,,NA,NA,Walsh-Ellett Hall 312,25,7,Available: 18,Prerequisites: POLS 101 or POLS 105,
