CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,
80910,AMST,251,A,Black Masculinity in the United States,4,C Thompson,MWF,1300,1350,,NA,NA,Walsh-Ellett Hall 306,25,23,Available: 2,Consent of professor required for late entry,G4: Exploring Past and Present
80908,AMST,255,A,Imagining Africa,4,C Thompson,MWF,1000,1050,,NA,NA,Walsh-Ellett Hall 202,20,12,Available: 8,Consent of professor required for late entry,
80911,AMST,351,A,Toni Morrison,4,C Thompson,T,1330,1630,,NA,NA,Walsh-Ellett Hall 208,16,16,Closed // Waitlist: 0,Open only to sophomores, juniors, and seniors; Consent of professor required for late entry,
80438,AMST,420,A,Senior Research Seminar,4,W Register,F,1400,1630,,NA,NA,Walsh-Ellett Hall 310,15,5,Available: 10,GMWI: Upper-Level (Major) Writing Intensive; Open only to students pursuing majors in American studies; Consent of professor required for late entry,
80545,ENGL,377,A,American Literature I,4,E Grammer,MWF,1200,1250,,NA,NA,Gailor Hall 110,25,23,Available: 2,Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
80548,ENGL,391,A,Modern American Poetry,4,V Craighill,MW,1400,1515,,NA,NA,Gailor Hall 110,25,21,Available: 4,Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
80549,ENGL,392,A,Modern American Fiction,4,T Carlson,TR,1330,1445,,NA,NA,duPont Library 215,15,15,Closed // Waitlist: 0,Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
80550,ENGL,393,A,Faulkner,4,J Grammer,W,1400,1630,,NA,NA,Gailor Hall 114,15,14,Available: 1,GMWI: Upper-Level (Major) Writing Intensive; Prerequisites: One course in English with attribute GFWI; Consent of professor required for late entry,
80598,HIST,201,A,History of the United States I,4,J Willis,MWF,1100,1150,,NA,NA,Walsh-Ellett Hall 202,25,25,Closed // Waitlist: 0,Reserved Seats: new first-year students-10 (none available); Consent of professor required for late entry,G4: Exploring Past and Present
80600,HIST,232,A,African-American History since 1865,4,H Roberson,TR,1100,1215,,NA,NA,Walsh-Ellett Hall 206,25,25,Closed // Waitlist: 0,Reserved Seats: new first-year students-6 (none available); Consent of professor required for late entry,G4: Exploring Past and Present
80603,HIST,327,A,The Old South,4,J Willis,TR,1100,1215,,NA,NA,Walsh-Ellett Hall 210,25,25,Closed // Waitlist: 0,Prerequisites: One course in history with attribute G4 including AP or IB credit; Consent of professor required for late entry,
80604,HIST,347,A,The American Civil Rights Movement,4,H Roberson,M,1300,1530,,NA,NA,Walsh-Ellett Hall 204,16,15,Available: 1,Prerequisites: One course in history with attribute G4 including AP or IB credit; Consent of professor required for late entry,
80684,POLS,204,A,Legislative Process,4,A Hatcher,TR,1500,1615,,NA,NA,Walsh-Ellett Hall 308,25,22,Available: 3,Reserved Seats: new first-year students-5 (none available); Consent of professor required for late entry,G4: Exploring Past and Present
80689,POLS,330,A,Race and Ethnicity in American Politics,4,M Crowder-Meyer,MW,1530,1645,,NA,NA,Guerry Hall 205,21,21,Closed // Waitlist: 0,Not open to new first-year students or freshmen; Consent of professor required for late entry,
80915,SAST,220,A,Place, Memory, and Identity,4,M Shea,TR,930,1045,,NA,NA,Walsh-Ellett Hall 204,20,20,Closed // Waitlist: 0,Consent of professor required for late entry,
80665,WMST,100,A,Introduction to Women's and Gender Studies,4,J Berebitsky,TR,930,1045,,NA,NA,Walsh-Ellett Hall 210,24,24,Closed // Waitlist: 0,Reserved Seats: new first-year students-6 (none available); Consent of professor required for late entry,G4: Exploring Past and Present
80909,WMST,251,A,Black Masculinity in the United States,4,C Thompson,MWF,1300,1350,,NA,NA,Walsh-Ellett Hall 306,25,23,Available: 2,Consent of professor required for late entry,G4: Exploring Past and Present
80913,WMST,351,A,Toni Morrison,4,C Thompson,T,1330,1630,,NA,NA,Walsh-Ellett Hall 208,16,16,Closed // Waitlist: 0,Open only to sophomores, juniors, and seniors; Consent of professor required for late entry,
Anthropology,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,
80801,ANTH,104,A,Introductory Cultural Anthropology,4,R O'Connor,MWF,900,950,,NA,NA,Woods Laboratories 342,15,15,Closed // Waitlist: 0,Reserved Seats: new first-year students-9 (none available); Consent of professor required for late entry,G4: Exploring Past and Present,GFWI: Foundational Writing Intensive
80802,ANTH,104,B,Introductory Cultural Anthropology,4,C Ray,MWF,1000,1050,,NA,NA,Walsh-Ellett Hall 210,25,24,Available: 1,Reserved Seats: new first-year students-15 (none available); Consent of professor required for late entry,G4: Exploring Past and Present
