CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,
50777,AMST,150,A,Introduction to Africana and African American Studies,4,H Roberson,TR,930,1045,,NA,NA,Walsh-Ellett Hall 202,20,21,Closed,Reserved Seats: returning freshmen-16 (2 available); Consent of professor required for late entry,G4: Exploring Past and Present
50690,AMST,420,A,Senior Research Seminar,4,W Register,F,1400,1600,,NA,NA,Walsh-Ellett Hall 312,12,6,Available: 6,GMWI: Upper-Level (Major) Writing Intensive; Open only to students pursuing majors in American studies; Consent of professor required for late entry,
50515,ENGL,377,A,American Literature I,4,E Grammer,TR,1330,1445,,NA,NA,Gailor Hall 110,25,17,Available: 8,Prerequisites: ENGL 101 or HUMN 101; Consent of professor required for late entry,
50781,ENGL,391,A,Modern American Poetry,4,V Craighill,TR,1500,1615,,NA,NA,Gailor Hall 103,25,7,Available: 18,Prerequisites: ENGL 101 or HUMN 101; Consent of professor required for late entry,
50780,ENGL,392,A,Modern American Fiction,4,J Lewin,TR,1330,1445,,NA,NA,duPont Library 215,25,15,Available: 10,Prerequisites: ENGL 101 or HUMN 101; Consent of professor required for late entry,
50516,ENGL,393,A,Faulkner,4,J Grammer,W,1400,1630,,NA,NA,Gailor Hall 202,15,14,Available: 1,GMWI: Upper-Level (Major) Writing Intensive; Prerequisites: ENGL 101 or HUMN 101; Consent of professor required for late entry,
50772,ENGL,396,A,American Environmental Literature,4,J Gatta,MWF,900,950,,NA,NA,Walsh-Ellett Hall 204,25,18,Available: 7,Prerequisites: ENGL 101 or HUMN 101; Consent of professor required for late entry,
50526,HIST,201,A,History of the United States I,4,W Register,MWF,900,950,,NA,NA,Walsh-Ellett Hall 202,25,28,Closed,Reserved Seats: returning freshmen-5 (none available); Consent of professor required for late entry,G4: Exploring Past and Present
50762,HIST,229,A,The Many Faces of Sewanee,4,J Willis,TR,1330,1445,,NA,NA,Walsh-Ellett Hall 204,15,15,Closed,Community Engagement; Open only to sophomores; Waitlist - contact instructor,
50531,HIST,232,A,African-American History since 1865,4,H Roberson,TR,1100,1215,,NA,NA,Walsh-Ellett Hall 202,25,18,Available: 7,Reserved Seats: returning freshmen-5 (4 available); Consent of professor required for late entry,G4: Exploring Past and Present
50847,HIST,347,A,The American Civil Rights Movement,4,H Roberson,M,1330,1500,,NA,NA,Walsh-Ellett Hall 202,15,15,Closed,Prerequisites: HIST 100 or (HUMN 101 and HUMN 102); Consent of professor required for late entry,
50539,HIST,393,A,America's Civil War,4,J Willis,TR,800,915,,NA,NA,Walsh-Ellett Hall 210,25,24,Available: 1,Prerequisites: HIST 100 or (HUMN 101 and HUMN 102); Consent of professor required for late entry,
50480,POLS,204,A,Legislative Process,4,A Hatcher,TR,1330,1445,,NA,NA,Walsh-Ellett Hall 210,25,25,Closed,Consent of professor required for late entry,G4: Exploring Past and Present
50483,POLS,330,A,Race and Ethnicity in American Politics,4,M Crowder-Meyer,MW,1530,1645,,NA,NA,Walsh-Ellett Hall 306,25,25,Closed,Consent of professor required for late entry,
50647,RELG,393,A,Rural Religion,4,J Smith,MW,1100,1150,R,1330,1630,duPont Library G31,22,27,Closed,Community Engagement; Reserved Seats: returning freshmen-5 (3 available); Consent of professor required for late entry,
50464,WMST,100,A,Introduction to Women's and Gender Studies,4,J Berebitsky,TR,930,1045,,NA,NA,Walsh-Ellett Hall 306,21,23,Closed,Open only to freshmen, sophomores, and juniors; Reserved Seats: returning freshmen-4 (none available); Consent of professor required for late entry,G4: Exploring Past and Present
Anthropology,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,
50611,ANTH,104,A,Introductory Cultural Anthropology,4,D Murdock,MWF,800,850,,NA,NA,Woods Laboratories 342,24,24,Closed,Reserved Seats: returning freshmen-13 (none available); Consent of professor required for late entry,G4: Exploring Past and Present
50612,ANTH,104,B,Introductory Cultural Anthropology,4,R O'Connor,MWF,900,950,,NA,NA,Woods Laboratories 342,15,14,Available: 1,Community Engagement; Reserved Seats: returning freshmen-9 (none available); Consent of professor required for late entry,G4: Exploring Past and Present,GFWI: Foundational Writing Intensive
50613,ANTH,104,C,Introductory Cultural Anthropology,4,R O'Connor,MWF,1000,1050,,NA,NA,Woods Laboratories 342,15,14,Available: 1,Community Engagement; Consent of professor required for late entry,G4: Exploring Past and Present,GFWI: Foundational Writing Intensive
50614,ANTH,109,A,World Prehistory,4,C Ray,TR,930,1045,,NA,NA,Walsh-Ellett Hall 210,25,25,Closed,Reserved Seats: returning freshmen-16 (none available); Consent of professor required for late entry,G3: Seeking Meaning,G4: Exploring Past and Present
50615,ANTH,109,B,World Prehistory,4,C Ray,TR,1100,1215,,NA,NA,Walsh-Ellett Hall 210,25,25,Closed,Reserved Seats: returning freshmen-2 (none available); Consent of professor required for late entry,G3: Seeking Meaning,G4: Exploring Past and Present
