CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
10636,ART,151,A,Beginning Drawing,4,E Carlos,W,1300,1700,,NA,NA,Carnegie Hall 201,10,16,Closed,Reserved Seats: students pursuing majors in art-5 (2 available); Reserved: FR/SO-5, MAJORS-5,NA
10637,ART,151,B,Beginning Drawing,4,E Carlos,F,1300,1700,,NA,NA,Carnegie Hall 201,10,18,Closed,Reserved Seats: students pursuing majors in art-5 (4 available); Reserved: FR/SO-5, MAJORS-5,NA
10640,ART,181,A,Beginning Sculpture,4,G Pond,R,1400,1700,,NA,NA,Dairy Sculpture Studio ,11,13,Closed,Sculpture Fee: $175,NA
10641,ART,243,A,Intermediate Video Production,4,G Pond,W,1400,1700,,NA,NA,duPont Library G26,10,7,Available: 3,Prerequisite: ART 143; Instructor permission required,NA
10690,ART,261,A,Intermediate Photography,4,P Malde,R,1400,1630,,NA,NA,Carnegie Hall 306,10,11,Closed,Prerequisite: ART 161; Studio Art Fee-Malde: $75,NA
10638,ART,291,A,Intermediate Painting,4,E Carlos,R,1300,1700,,NA,NA,Carnegie Hall 203,10,4,Available: 6,Prerequisite: ART 191,NA
10310,ART,342,A,Scene Design,4,D Backlund,TR,930,1045,R,1400,1700,Tennessee Williams Center ,9,4,Available: 5,Prerequisite: THTR 114,NA
10642,ART,343,A,Advanced Video Production,4,G Pond,W,1400,1700,,NA,NA,duPont Library G26,10,1,Available: 9,Prerequisite: ART 143; Instructor permission required,NA
10705,ART,361,A,Advanced Photography,4,P Malde,R,1400,1630,,NA,NA,Carnegie Hall 306,5,0,Available: 5,Prerequisite: ART 261; Studio Art Fee-Malde: $75,NA
10639,ART,391,A,Advanced Painting,4,E Carlos,R,1300,1700,,NA,NA,Carnegie Hall 203,10,3,Available: 7,Prerequisite: ART 291,NA
10644,ART,418,A,Junior Tutorial in Art-I,4,P Malde,T,1400,1630,,NA,NA,Carnegie Hall 306,25,2,Available: 23,Open only to students pursuing majors in art,NA
10645,ART,420,A,Seminar in Creativity,4,P Malde,T,1400,1630,,NA,NA,Carnegie Hall 306,25,14,Available: 11,Open only to students pursuing majors in art,NA
10389,ARTH,104,A,Survey of Western Art II,4,C Mansfield,MWF,800,850,,NA,NA,Carnegie Hall 306,25,26,Closed,Reserved Seats: returning freshmen-10 (none available),NA
10390,ARTH,104,B,Survey of Western Art II,4,C Mansfield,MWF,1100,1150,,NA,NA,Carnegie Hall 306,25,27,Closed,Reserved Seats: returning freshmen-10 (3 available),NA
10694,ARTH,207,A,The Arts of Asia,4,M Oba,MWF,1000,1050,,NA,NA,Carnegie Hall 302,24,22,Available: 2 Reserved,Reserved Seats: returning freshmen-4 (2 available),NA
10386,ARTH,212,A,American Animation, 1910-1960,4,G Clark,TR,1230,1345,,NA,NA,Carnegie Hall 302,20,21,Closed,Reserved Seats: seniors-4 (none available), juniors-4 (none available), sophomores-4 (none available), returning freshmen-8 (2 available),NA
10387,ARTH,212,B,American Animation, 1910-1960,4,G Clark,TR,1400,1515,,NA,NA,Carnegie Hall 302,20,21,Closed,Reserved Seats: seniors-4 (2 available), juniors-4 (none available), sophomores-4 (none available), returning freshmen-8 (6 available),NA
10391,ARTH,340,A,American Art,4,M Brennecke,TR,930,1045,,NA,NA,Carnegie Hall 304,15,14,Available: 1,Prerequisites: ARTH 104 or HUMN 202,NA
10392,ARTH,340,B,American Art,4,M Brennecke,TR,1100,1215,,NA,NA,Carnegie Hall 304,15,18,Closed,Prerequisites: ARTH 104 or HUMN 202,NA
10388,ARTH,402,A,Senior Seminar,4,G Clark,M,1330,1600,,NA,NA,Carnegie Hall 304,12,4,Available: 8,Writing Intensive; Open only to seniors pursuing majors in art history; Prerequisites: ARTH 103 and ARTH 104,NA
Asian Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
10694,ARTH,207,A,The Arts of Asia,4,M Oba,MWF,1000,1050,,NA,NA,Carnegie Hall 302,24,22,Available: 2 Reserved,Reserved Seats: returning freshmen-4 (2 available),NA
10792,ASIA,110,A,Asian American Experience,4,W Leggett,TR,1300,1415,,NA,NA,Woods Laboratories 103,15,14,Available: 1,Writing Intensive,NA
10722,ASIA,311,A,Modern China in Literature and Films: Memory, Identity, and Modern Narratives,4,J Xiao,TR,1100,1215,,NA,NA,duPont Library 217,25,3,Available: 22,,NA
10796,ASIA,444,E,Independent Study,2 - 4,M Oba,TBA,NA,NA,,NA,NA,TBA,99,0,Available: 99,,NA
10374,CHIN,103,A,Elementary Chinese I,4,J Xiao,MWF,900,950,T,1400,1450,duPont Library 217,20,4,Available: 16,,NA
10375,CHIN,203,A,Intermediate Chinese,4,J Xiao,MWF,1400,1450,R,1400,1450,duPont Library 217,20,8,Available: 12,Prerequisite: CHIN 104,NA
10328,ECON,310,A,Economic Development in the Third World,4,Y Mohiuddin,TR,930,1045,,NA,NA,Walsh-Ellett Hall 306,15,18,Closed,Prerequisite: ECON 101,NA
10567,HIST,211,A,History of China and East Asia I,4,H Goldberg,TR,930,1045,,NA,NA,Walsh-Ellett Hall 308,22,25,Closed,,NA
10580,HIST,375,A,British India,4,A Knoll,M,1400,1630,,NA,NA,Walsh-Ellett Hall 312,15,13,Available: 2,,NA
10372,JAPN,103,A,Elementary Japanese I,4,M Oba,MWF,1300,1350,R,1300,1350,Guerry Hall 129,20,14,Available: 6,,NA
10373,JAPN,203,A,Intermediate Japanese,4,M Oba,MWF,1200,1250,R,1400,1450,Guerry Hall 129,20,4,Available: 16,Prerequisite: JAPN 104,NA
10476,MUSC,241,A,Listening to Asia,4,J Oba,TR,1230,1345,,NA,NA,St. Luke's 214,20,5,Available: 15,Prerequisites: MUSC 101 or MUSC 105 or ASIA 100,NA
10630,RELG,262,A,Buddhism,4,S Brown,MW,1400,1515,,NA,NA,Walsh-Ellett Hall 208,18,19,Closed,,NA
10334,THTR,226,A,Asian Theatre,4,D Backlund,T,1400,1700,,NA,NA,Tennessee Williams Center ,18,9,Available: 9,,NA
Biology,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
10393,BIOL,105,A,Biology and People,4,C Butler,MWF,800,850,,NA,NA,Woods Laboratories 113,24,21,Available: 3,Non-Lab Science,NA
10394,BIOL,131,A,Evolution, Ecology and Biodiversity (Lab),0,D Haskell,MWF,900,950,T,1330,1630,Woods Laboratories 113,20,20,Closed,Lab Science,NA
10395,BIOL,131,B,Evolution, Ecology and Biodiversity (Lab),0,C Butler,MWF,1000,1050,W,1330,1630,Woods Laboratories 121,20,17,Available: 3,Lab Science,NA
10396,BIOL,131,C,Evolution, Ecology and Biodiversity (Lab),0,J Evans,MWF,1100,1150,R,1330,1630,Woods Laboratories 103,15,12,Available: 3,Lab Science; Writing Intensive,NA
