CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
70423,AMST,150,A,Introduction to Africana and African American Studies,4,H Roberson,MW,1430,1545,,NA,NA,Walsh-Ellett Hall 202,19,17,Available: 2,,NA
70424,AMST,333,A,Junior Seminar,4,W Register,M,1400,1630,,NA,NA,Walsh-Ellett Hall 312,15,12,Available: 3,Instructor permission required,NA
70414,ENGL,378,A,American Literature II,4,E Grammer,MWF,1100,1150,,NA,NA,Gailor Hall 110,25,29,Closed,,NA
70416,ENGL,394,A,Literature of the American South,4,T Carlson,TR,1100,1215,,NA,NA,duPont Library ,25,29,Closed,Waitlist - contact instructor,NA
70534,HIST,202,A,History of the United States II,4,W Register,MWF,1000,1050,,NA,NA,Walsh-Ellett Hall 304,25,26,Closed,Reserved Seats: juniors-5 (none available), sophomores-20 (4 available),NA
70535,HIST,238,A,Women in U.S. History, 1870 to the Present,4,J Berebitsky,TR,1330,1445,,NA,NA,Walsh-Ellett Hall 302,23,23,Closed,Waitlist - contact instructor,NA
70538,HIST,322,A,Southern Lives,4,J Willis,TR,1100,1215,,NA,NA,Walsh-Ellett Hall 204,15,15,Closed,Writing Intensive; Waitlist - contact instructor,NA
70690,HIST,324,A,Colonial and Imperial Warfare in North America and Southern Africa,4,R Levine,T,1330,1600,,NA,NA,Walsh-Ellett Hall 204,15,13,Available: 2,,NA
70541,HIST,333,A,Topics in American History: African American Gender in US History,4,K Gallon,TR,930,1045,,NA,NA,Walsh-Ellett Hall 204,15,19,Closed,,NA
70539,HIST,347,A,The American Civil Rights Movement,4,H Roberson,T,1300,1530,,NA,NA,Spencer Hall 151,15,19,Closed,,NA
70462,POLS,332,A,Contemporary Constitutional Law,4,A Hatcher,TR,1100,1215,,NA,NA,Walsh-Ellett Hall 206,25,26,Closed,,NA
70464,POLS,390,A,The United Nations,4,E Dunn,MW,1430,1545,,NA,NA,Walsh-Ellett Hall 210,25,13,Available: 12,,NA
70768,PSYC,403,A,Psychology and Popular Culture in the U.S.,4,N Barenbaum,T,1400,1650,,NA,NA,Woods Laboratories 340,14,16,Closed,Prerequisites: Four courses in any combination from psychology and American studies; Waitlist - contact instructor,NA
Anthropology,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
70321,ANTH,104,B,Introductory Cultural Anthropology,4,C Ray,MWF,1100,1150,,NA,NA,Guerry Hall 1,19,22,Closed,Reserved Seats: sophomores-6 (none available), returning freshmen-8 (none available),NA
70322,ANTH,104,C,Introductory Cultural Anthropology,4,C Ray,MWF,1200,1250,,NA,NA,Guerry Hall 1,19,26,Closed,Reserved Seats: sophomores-6 (none available), returning freshmen-8 (none available),NA
70323,ANTH,106,A,Introductory Physical Anthropology and Archaeology,4,S Sherwood,TR,800,915,,NA,NA,Guerry Hall 1,19,21,Closed,Reserved Seats: sophomores-6 (none available), returning freshmen-8 (none available),NA
70324,ANTH,106,B,Introductory Physical Anthropology and Archaeology,4,S Sherwood,TR,930,1045,,NA,NA,Guerry Hall 1,19,18,Available: 1,Reserved Seats: sophomores-6 (none available), returning freshmen-8 (none available),NA
70325,ANTH,206,A,Medical Anthropology,4,R O'Connor,TR,1100,1215,,NA,NA,Woods Laboratories 342,15,16,Closed,Instructor permission required,NA
70326,ANTH,290,A,Women in Cross-Cultural Perspective,4,D Murdock,MWF,900,950,,NA,NA,Woods Laboratories 342,15,15,Closed,Writing Intensive; Waitlist - contact instructor,NA
70328,ANTH,305,A,Cultures of Latin America,4,D Murdock,MWF,1100,1150,,NA,NA,Woods Laboratories 342,15,15,Closed,Prerequisite: ANTH 104; Waitlist - contact instructor,NA
70327,ANTH,306,A,American Indians,4,S Sherwood,TR,1330,1445,,NA,NA,Guerry Hall 1,15,17,Closed,,NA
70700,ANTH,387,A,Anthropology of Ireland,4,C Ray,W,1400,1630,,NA,NA,Gailor Hall 132,15,19,Closed,,NA
70329,ANTH,391,A,Junior Tutorial,4,R O'Connor,T,1500,1730,,NA,NA,Woods Laboratories 342,15,9,Available: 6,Writing Intensive; Open only to students pursuing majors in anthropology; Prerequisite: ANTH 104,NA
70330,ANTH,403,A,Social Theory,4,D Murdock,W,1300,1530,,NA,NA,Woods Laboratories 340,15,13,Available: 2,Open only to students pursuing majors in anthropology,NA
Art and Art History,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
70547,ART,103,A,Introduction to Lens and Time-based Media,4,P Malde,F,1400,1630,,NA,NA,duPont Library G31,12,13,Closed,Instructor permission required; Studio Art Fee-Malde: $350,NA
70548,ART,104,A,Introduction to Three- and Four-Dimensional Media,4,G Pond,W,1400,1630,,NA,NA,Nabit Art Building 116,18,20,Closed,Instructor permission required; Studio Art Fee-Pond: $140,NA
70549,ART,105,A,Introduction to Painting and Drawing Processes and Theory,4,J P,T,1400,1630,,NA,NA,Nabit Art Building 102,16,15,Available: 1,Instructor permission required; Studio Art Fee-Wohl: $150,NA
70708,ART,253,A,Book Arts,4,J P,W,1400,1630,,NA,NA,Nabit Art Building 102,12,11,Available: 1,Prerequisites: One 200-level course in art; Studio Art Fee-Wohl: $225,NA
70551,ART,263,A,Intermediate Documentary Projects in Photography,4,P Malde,R,1330,1630,,NA,NA,Carnegie Hall 304,6,10,Closed,Instructor permission required; Studio Art Fee-Malde: $450,NA
70552,ART,281,A,Intermediate Sculpture,4,G Pond,T,1400,1630,,NA,NA,Nabit Art Building 116,10,7,Available: 3,Prerequisites: ART 104 or ART 181; Sculpture Fee: $225,NA
70553,ART,343,A,Advanced Video Production,4,G Pond,R,1400,1630,,NA,NA,duPont Library G31,12,3,Available: 9,Prerequisite: ART 243; Studio Art Fee-Pond: $40,NA
70555,ART,363,A,Advanced Documentary Projects in Photography,4,P Malde,R,1330,1630,,NA,NA,Carnegie Hall 304,6,0,Available: 6,Prerequisite: ART 263; Studio Art Fee-Malde: $450,NA
70556,ART,381,A,Advanced Sculpture,4,G Pond,T,1400,1630,,NA,NA,Nabit Art Building 116,8,3,Available: 5,Prerequisite: ART 281; Sculpture Fee: $225,NA
70557,ART,419,A,Junior Tutorial in Art-II,4,J P,M,1400,1630,,NA,NA,Carnegie Hall 304,12,7,Available: 5,Open only to students pursuing majors in art,NA
70558,ART,430,A,Senior Seminar,4,P Malde,M,1400,1630,,NA,NA,Nabit Art Building 102,12,6,Available: 6,Open only to students pursuing majors in art,NA
70672,ARTH,103,A,Survey of Western Art I,4,J Musto,MWF,1100,1150,,NA,NA,Carnegie Hall 306,19,23,Closed,Reserved Seats: sophomores-6 (none available), returning freshmen-6 (none available),NA
70673,ARTH,103,B,Survey of Western Art I,4,J Musto,MWF,1300,1350,,NA,NA,Carnegie Hall 306,19,27,Closed,Reserved Seats: sophomores-6 (none available), returning freshmen-6 (none available),NA
70307,ARTH,107,A,The Films of Alfred Hitchcock,4,L Richardson,TR,1100,1215,,NA,NA,Gailor Hall 011,20,21,Closed,Reserved Seats: seniors-10 (3 available), juniors-5 (2 available), sophomores-5 (3 available); Instructor permission required,NA
70774,ARTH,206,A,History of Architecture,4,J Musto,MWF,900,950,,NA,NA,Carnegie Hall 306,19,21,Closed,,NA
70481,ARTH,312,A,Greek and Roman Art and Architecture,4,G Clark,TR,930,1045,,NA,NA,Carnegie Hall 302,19,19,Closed,Prerequisites: ARTH 103 or HUMN 102; Instructor permission required,NA
70483,ARTH,317,A,Junior Seminar,4,G Clark,T,1330,1600,,NA,NA,Carnegie Hall 304,10,6,Available: 4,Writing Intensive; Instructor permission required,NA
70484,ARTH,317,B,Junior Seminar,4,G Clark,W,1330,1600,,NA,NA,Carnegie Hall 304,10,8,Available: 2,Writing Intensive; Instructor permission required,NA
70485,ARTH,335,A,Nineteenth-Century Art,4,M Brennecke,TR,1100,1215,,NA,NA,Carnegie Hall 304,16,16,Closed,Prerequisites: ARTH 104 or HUMN 202,NA
70775,ARTH,338,A,British Art,4,M Brennecke,MW,1100,1215,,NA,NA,Carnegie Hall 304,16,16,Closed,Prerequisite: ARTH 104,NA
Asian Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
70452,ASIA,204,A,New Chinese Cinema,4,W Yang,TR,1500,1615,,NA,NA,Gailor Hall 224,16,24,Closed,,NA
70785,ASIA,211,A,Modern Literatures and Cultures of Japan,4,Y Soeshima,MWF,1200,1250,,NA,NA,Gailor Hall 230,16,3,Available: 13,,NA
70450,CHIN,104,A,Elementary Chinese II,4,W Yang,MWF,900,950,T,1230,1320,Gailor Hall 230,16,7,Available: 9,Prerequisites: CHIN 103 or placement,NA
70451,CHIN,301,A,Advanced Chinese,4,W Yang,MWF,1100,1150,,NA,NA,Woods Laboratories 340,16,10,Available: 6,Prerequisites: CHIN 203 or placement,NA
70752,ECON,309,A,Women in the Economy,4,Y Mohiuddin,TR,1500,1615,,NA,NA,Walsh-Ellett Hall 306,20,24,Closed,Prerequisite: ECON 101,NA
70777,HIST,214,A,History of Modern Southeast Asia,4,H Teng,MW,1330,1445,,NA,NA,Walsh-Ellett Hall 302,20,19,Available: 1,,NA
70778,HIST,377,A,Topics in Asian History: Death and the Afterlife in China,4,H Teng,T,1400,1630,,NA,NA,Walsh-Ellett Hall 206,16,15,Available: 1,,NA
70453,JAPN,104,A,Elementary Japanese II,4,Y Soeshima,MWF,1000,1050,R,1230,1320,Gailor Hall 230,16,2,Available: 14,Prerequisites: JAPN 103 or placement,NA
70454,JAPN,301,A,Composition and Conversation,4,Y Soeshima,MWF,1100,1150,,NA,NA,Gailor Hall 230,16,3,Available: 13,Prerequisites: JAPN 203 or placement,NA
70729,POLS,249,A,China and the World,4,S Wilson,MW,1100,1215,,NA,NA,Walsh-Ellett Hall 304,25,27,Closed,,NA
Biology,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
70657,BIOL,130,A,Field Investigations in Biology,4,K Zigler,M,1330,1700,,NA,NA,Woods Laboratories G9,15,17,Closed,Non-Lab Science; Open only to freshmen and sophomores,NA
70658,BIOL,130,B,Field Investigations in Biology,4,D McGrath,W,1330,1700,,NA,NA,Woods Laboratories G9,15,17,Closed,Non-Lab Science; Open only to freshmen and sophomores,NA
70659,BIOL,130,C,Field Investigations in Biology,4,J Gramarye,T,1330,1700,,NA,NA,Woods Laboratories G9,15,15,Closed,Non-Lab Science,NA
70660,BIOL,130,D,Field Investigations in Biology,4,D Kuppinger,R,1330,1700,,NA,NA,Woods Laboratories G9,15,18,Closed,Non-Lab Science; Open only to freshmen and sophomores,NA
70380,BIOL,132,A,Cellular, Molecular and Physiological Biology (Lab),4,J Palisano,MWF,1100,1150,,NA,NA,Woods Laboratories 113,45,46,Closed,Lab Science,NA
70381,BIOL,132,L1,Cellular, Molecular and Physiological Biology (Lab),0,S Phillips,M,1330,1700,,NA,NA,Spencer Hall 251,15,15,Closed,Lab Science,NA
70383,BIOL,132,L2,Cellular, Molecular and Physiological Biology (Lab),0,N Berner,T,1330,1700,,NA,NA,Spencer Hall 251,15,16,Closed,Lab Science,NA
70382,BIOL,132,L3,Cellular, Molecular and Physiological Biology (Lab),0,A Summers,W,1330,1700,,NA,NA,Spencer Hall 251,15,15,Closed,Lab Science,NA
70737,BIOL,201,A,Ornithology (Lab),4,D Haskell,MWF,800,850,M,1330,1630,Woods Laboratories 128,16,19,Closed,Lab Science; Prerequisites: BIOL 130 or BIOL 131 or BIOL 132,NA
70389,BIOL,215,A,Fungi,2,L Jones,T,930,1045,,NA,NA,Spencer Hall 151,16,13,Available: 3,,NA
70388,BIOL,222,A,Advanced Conservation Biology (Lab),4,D Kuppinger,TR,800,915,T,1330,1630,Spencer Hall 151,16,13,Available: 3,Lab Science; Prerequisites: BIOL 130 or BIOL 131,NA
70387,BIOL,232,A,Human Health and the Environment (Lab),4,D McGrath,TR,1100,1215,R,1330,1630,Spencer Hall 164,16,16,Closed,Lab Science; Prerequisites: BIOL 130 or BIOL 131,NA
70871,BIOL,314,A,General and Human Physiology (Lab),4,N Berner,MWF,900,950,W,1330,1630,Spencer Hall 271,16,16,Closed,Lab Science; Prerequisites: BIOL 132 and eight hours of chemistry (excluding CHEM 108),NA
70385,BIOL,316,A,Biochemistry of Metabolism and Molecular Biology (Lab),0,A Summers,MWF,1000,1050,M,1330,1630,Spencer Hall 164,16,17,Closed,Lab Science; Prerequisites: BIOL 132 and CHEM 202,NA
70386,BIOL,331,A,Immunology,4,J Palisano,TR,930,1045,,NA,NA,Spencer Hall 164,16,17,Closed,Non-Lab Science; Prerequisite: BIOL 132,NA
Chemistry,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
70559,CHEM,102,A,General Chemistry II (Lab),4,J Shibata,MWF,900,950,,NA,NA,Woods Laboratories BLACKMAN,36,35,Available: 1,Lab Science; Prerequisites: CHEM 101 or CHEM 103,NA
70560,CHEM,102,B,General Chemistry II (Lab),4,P Arthasery,MWF,1000,1050,,NA,NA,Woods Laboratories BLACKMAN,36,24,Available: 12,Lab Science; Prerequisites: CHEM 101 or CHEM 103,NA
70561,CHEM,102,L1,General Chemistry II (Lab),0,D Miles,M,1300,1600,,NA,NA,Spencer Hall 269,18,17,Available: 1,Lab Science; Prerequisites: CHEM 101 or CHEM 103,NA
70562,CHEM,102,L2,General Chemistry II (Lab),0,P Arthasery,T,1330,1630,,NA,NA,Spencer Hall 269,18,14,Available: 4,Lab Science; Prerequisites: CHEM 101 or CHEM 103,NA
