CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,
10490,AMST,420,A,Senior Research Seminar,4,W Register,F,1400,1630,,NA,NA,Walsh-Ellett Hall 312,20,11,Available: 9,Writing Intensive; Open only to students pursuing majors in American studies,
10480,ENGL,377,A,American Literature I,4,E Grammer,TR,1330,1445,,NA,NA,Gailor Hall 110,25,21,Available: 4,,
10482,ENGL,391,A,Modern American Poetry,4,B Clarkson,MWF,1100,1150,,NA,NA,Gailor Hall 114,25,17,Available: 8,,
10483,ENGL,392,A,Modern American Fiction,4,T Carlson,MW,1300,1415,,NA,NA,Spencer Hall 271,15,14,Available: 1,,
10484,ENGL,393,A,Faulkner,4,J Grammer,W,1400,1630,,NA,NA,Gailor Hall 114,15,14,Available: 1,Writing Intensive,
10485,ENGL,398,A,Contemporary American Poetry,4,W Prunty,M,1400,1630,,NA,NA,Gailor Hall 114,25,10,Available: 15,,
10565,HIST,201,A,History of the United States I,4,W Register,MWF,1000,1050,,NA,NA,Walsh-Ellett Hall 304,25,27,Closed,Reserved Seats: juniors-5 (none available), sophomores-20 (3 available); Waitlist - contact instructor,
10569,HIST,229,A,The Many Faces of Sewanee,4,J Willis,TR,1100,1215,,NA,NA,Walsh-Ellett Hall 202,15,15,Closed,Writing Intensive; Community Engagement; Open only to sophomores; Waitlist - contact instructor,
10570,HIST,232,A,African-American History since 1865,4,H Roberson,MW,1300,1415,,NA,NA,Walsh-Ellett Hall 208,25,24,Available: 1,,
10571,HIST,238,A,Women in U.S. History, 1870 to the Present,4,J Berebitsky,TR,1330,1445,,NA,NA,Walsh-Ellett Hall 202,25,24,Available: 1,,
10598,POLS,204,A,Legislative Process,4,A Hatcher,MW,1300,1415,,NA,NA,Woods Laboratories 123,25,26,Closed,,
10601,POLS,304,A,American Political Thought,4,G McKeen,MW,1300,1415,,NA,NA,Walsh-Ellett Hall 310,25,21,Available: 4,,
10603,POLS,331,A,Introduction to Constitutional Law,4,R Pearigen,T,1400,1700,,NA,NA,Spencer Hall 262,15,11,Available: 4,,
10605,POLS,390,A,The United Nations,4,E Dunn,TR,1100,1215,,NA,NA,Walsh-Ellett Hall 306,25,25,Closed,,
10828,PSYC,403,A,Psychology and Popular Culture in the U.S.,4,N Barenbaum,M,1400,1630,,NA,NA,Woods Laboratories 340,10,8,Available: 2,Prerequisites: Four courses in any combination from psychology and American studies,
10669,RELG,393,A,Rural Religion,4,J Smith,MW,1100,1150,R,1300,1600,duPont Library G31,18,23,Closed,Community Engagement,
10445,WMST,100,A,Introduction to Women's Studies,4,J Berebitsky,MW,1430,1545,,NA,NA,Walsh-Ellett Hall 202,18,19,Closed,Reserved Seats: sophomores-6 (none available),
Anthropology,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,
10625,ANTH,104,A,Introductory Cultural Anthropology,4,R O'Connor,MWF,900,950,,NA,NA,Woods Laboratories 342,15,15,Closed,Writing Intensive; Community Engagement; Reserved Seats: returning freshmen-5 (none available),
10626,ANTH,104,B,Introductory Cultural Anthropology,4,R O'Connor,MWF,1000,1050,,NA,NA,Woods Laboratories 342,15,15,Closed,Writing Intensive; Community Engagement; Reserved Seats: returning freshmen-5 (none available),
10628,ANTH,104,C,Introductory Cultural Anthropology,4,D Hendrickson,TR,1100,1215,,NA,NA,Spencer Hall 262,24,26,Closed,,
10629,ANTH,104,D,Introductory Cultural Anthropology,4,D Hendrickson,TR,1330,1445,,NA,NA,Woods Laboratories 342,24,25,Closed,,
10630,ANTH,298,A,Ecological Anthropology,4,C Ray,TR,1100,1215,,NA,NA,Gailor Hall 128,15,17,Closed,,
10631,ANTH,298,B,Ecological Anthropology,4,C Ray,TR,1330,1445,,NA,NA,Spencer Hall 164,15,16,Closed,,
10627,ANTH,341,A,The Culture and History of Southeast Asia,4,R O'Connor,TR,1100,1215,,NA,NA,Woods Laboratories 342,10,15,Closed,,
10632,ANTH,401,A,Anthropological Field Methods,4,C Ray,W,1300,1600,,NA,NA,Gailor Hall 103,15,8,Available: 7,Writing Intensive; Community Engagement; Open only to students pursuing majors in anthropology,
Art and Art History,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,
10353,ART,103,A,Introduction to Lens and Time-based Media,4,P Malde,F,1400,1630,W,800,850,duPont Library G31,12,9,Available: 3,Reserved Seats: returning freshmen-5 (2 available); Instructor permission required; Studio Art Fee-Malde: $350,
10354,ART,104,A,Introduction to Three- and Four-Dimensional Media,4,G Pond,W,1400,1630,,NA,NA,Nabit Art Building 116,16,13,Available: 3 Reserved,Reserved Seats: returning freshmen-8 (4 available); Instructor permission required; Studio Art Fee-Pond: $150,
10355,ART,104,B,Introduction to Three- and Four-Dimensional Media,4,G Pond,R,1400,1630,,NA,NA,Nabit Art Building 116,12,9,Available: 3 Reserved,Reserved Seats: returning freshmen-6 (5 available); Instructor permission required; Studio Art Fee-Pond: $150,
10356,ART,105,A,Introduction to Painting and Drawing Processes and Theory,4,J P,M,1400,1630,,NA,NA,Nabit Art Building 102,16,15,Available: 1,Reserved Seats: returning freshmen-6 (none available); Instructor permission required; Studio Art Fee-Wohl: $150,
10839,ART,108,A,Foundations of Film and Video Production,4,G Pond,R,1400,1630,,NA,NA,Nabit Art Building 102,6,8,Closed,Open only to freshmen; Studio Art Fee-Malde: $75,
10357,ART,231,A,Intermediate Digital Arts,4,P Malde,R,1400,1630,,NA,NA,duPont Library G31,8,7,Available: 1,Prerequisite: ART 103; Studio Art Fee-Malde: $250,
10358,ART,243,A,Intermediate Video Production,4,G Pond,M,1400,1630,,NA,NA,duPont Library G26,12,7,Available: 5,Prerequisites: ART 104 or ART 143; Studio Art Fee-Pond: $35,
10359,ART,291,A,Intermediate Painting: Water Based,4,J P,T,1400,1630,,NA,NA,Nabit Art Building 102,14,8,Available: 6,Prerequisites: ART 105 or ART 191; Studio Art Fee-Wohl: $225,
10360,ART,291,B,Intermediate Painting: Encaustic,4,J P,W,1400,1630,,NA,NA,Nabit Art Building 102,14,5,Available: 9,Prerequisites: ART 105 or ART 191; Studio Art Fee-Wohl: $325,
10361,ART,331,A,Advanced Projects in Digital Arts,4,P Malde,R,1400,1630,,NA,NA,duPont Library G31,6,0,Available: 6,Prerequisite: ART 231; Studio Art Fee-Malde: $250,
10362,ART,391,A,Advanced Painting: Water Based,4,J P,T,1400,1630,,NA,NA,Nabit Art Building 102,14,8,Available: 6,Prerequisite: ART 291; Studio Art Fee-Wohl: $225,
10363,ART,391,B,Advanced Painting: Encaustic,4,J P,W,1400,1630,,NA,NA,Nabit Art Building 102,14,5,Available: 9,Prerequisite: ART 291; Studio Art Fee-Wohl: $325,
10364,ART,420,A,Seminar in Creativity,4,P Malde,M,1400,1630,,NA,NA,Nabit Art Building 103,12,6,Available: 6,Writing Intensive; Open only to seniors pursuing majors in art,
10633,ARTH,103,A,Survey of Western Art I,4,M Brennecke,TR,930,1045,,NA,NA,Carnegie Hall 306,20,22,Closed,Reserved Seats: sophomores-5 (1 available), returning freshmen-8 (1 available),
10634,ARTH,103,B,Survey of Western Art I,4,M Brennecke,TR,1100,1215,,NA,NA,Carnegie Hall 306,20,21,Closed,Reserved Seats: sophomores-5 (none available), returning freshmen-8 (1 available),
10635,ARTH,104,A,Survey of Western Art II,4,J Musto,MWF,1100,1150,,NA,NA,Carnegie Hall 306,20,22,Closed,Reserved Seats: sophomores-5 (none available), returning freshmen-8 (5 available),
10636,ARTH,104,B,Survey of Western Art II,4,J Musto,MWF,1300,1350,,NA,NA,Carnegie Hall 306,20,18,Available: 2,Reserved Seats: sophomores-5 (none available), returning freshmen-8 (3 available),
10807,ARTH,318,A,Spanish Medieval Art,4,A Momplet,MWF,1000,1050,,NA,NA,Carnegie Hall 306,16,13,Available: 3,,
10637,ARTH,332,A,Seventeenth- and Eighteenth-Century Art,4,J Musto,MWF,900,950,,NA,NA,Carnegie Hall 304,15,14,Available: 1,Prerequisites: ARTH 104 or HUMN 202,
10638,ARTH,345,A,Modern Art,4,J Thompson,TR,1100,1215,,NA,NA,Carnegie Hall 302,15,16,Closed,,
10639,ARTH,345,B,Modern Art,4,J Thompson,TR,1330,1445,,NA,NA,Carnegie Hall 302,15,13,Available: 2,,
10808,ARTH,350,A,Spanish Painting,4,A Momplet,MWF,1430,1520,,NA,NA,Carnegie Hall 302,16,7,Available: 9,,
10848,ARTH,351,A,Conceptual Art,4,J Thompson,MWF,1100,1150,,NA,NA,Carnegie Hall 302,16,4,Available: 12,Prerequisites: ARTH 104 or HUMN 202,
Asian Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,
10627,ANTH,341,A,The Culture and History of Southeast Asia,4,R O'Connor,TR,1100,1215,,NA,NA,Woods Laboratories 342,10,15,Closed,,
10350,ASIA,205,A,Modern China through Fiction and Film,4,W Yang,TR,1500,1615,,NA,NA,Gailor Hall 230,16,10,Available: 6,Reserved Seats: returning freshmen-6 (1 available),
10775,ASIA,209,A,Introduction to Japanese Civilization: From Samurai to Sony,4,N Carter,MWF,900,950,,NA,NA,Gailor Hall 230,16,15,Available: 1,,
10776,ASIA,217,A,Modern Japanese Literature,4,N Carter,TR,1100,1215,,NA,NA,Gailor Hall 230,16,4,Available: 12,,
10348,CHIN,103,A,Elementary Chinese I,4,W Yang,MWF,1000,1050,T,1230,1320,Gailor Hall 202,16,14,Available: 2,,
10349,CHIN,203,A,Intermediate Chinese,4,W Yang,MWF,1100,1150,R,1230,1320,Gailor Hall 230,16,6,Available: 10,Prerequisites: CHIN 104 or placement,
10685,ECON,310,A,Economic Development in the Third World,4,Y Mohiuddin,TR,930,1045,,NA,NA,Walsh-Ellett Hall 310,20,24,Closed,Prerequisite: ECON 101,
10351,JAPN,103,A,Elementary Japanese I,4,N Carter,MWF,1100,1150,R,1230,1320,Gailor Hall 225,16,14,Available: 2,,
10700,PHIL,215,A,Chinese Philosophy,4,J Peterman,TR,1100,1215,,NA,NA,Guerry Hall 204,18,17,Available: 1,,
10705,RELG,162,A,Introduction to Asian Religions,4,S Brown,MWF,800,850,,NA,NA,Walsh-Ellett Hall 210,20,20,Closed,,
10706,RELG,162,B,Introduction to Asian Religions,4,S Brown,MWF,1100,1150,,NA,NA,Walsh-Ellett Hall 210,20,18,Available: 2,Reserved Seats: returning freshmen-8 (1 available),
Biology,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,
10365,BIOL,105,A,Biology and People,4,J Gramarye,MWF,800,850,,NA,NA,Spencer Hall 164,18,13,Available: 5,Non-Lab Science,
10366,BIOL,105,B,Biology and People,4,J Gramarye,MWF,1000,1050,,NA,NA,Spencer Hall 151,18,16,Available: 2,Non-Lab Science,
10367,BIOL,130,A,Field Investigations in Biology,4,J Evans,M,1330,1700,,NA,NA,Woods Laboratories G10,18,14,Available: 4,Non-Lab Science; Open only to freshmen and sophomores; Reserved Seats: returning freshmen-8 (none available),
10368,BIOL,130,B,Field Investigations in Biology,4,J Gramarye,T,1330,1700,,NA,NA,Woods Laboratories G10,18,17,Available: 1,Non-Lab Science; Open only to freshmen and sophomores,
10369,BIOL,130,C,Field Investigations in Biology,4,D McGrath,W,1330,1700,,NA,NA,Woods Laboratories G10,18,19,Closed,Non-Lab Science; Open only to freshmen and sophomores; Reserved Seats: returning freshmen-8 (none available),
10370,BIOL,130,D,Field Investigations in Biology,4,K Zigler,R,1330,1700,,NA,NA,Woods Laboratories G10,18,19,Closed,Non-Lab Science; Open only to freshmen and sophomores,
10723,BIOL,133,A,Introductory Molecular Biology,4,A Summers,MWF,800,850,,NA,NA,Spencer Hall 257,18,18,Closed,Non-Lab Science; Open only to freshmen and sophomores,
10724,BIOL,133,B,Introductory Molecular Biology,4,J Palisano,MWF,900,950,,NA,NA,Spencer Hall 257,18,19,Closed,Non-Lab Science; Open only to freshmen and sophomores; Reserved Seats: returning freshmen-8 (1 available),
10725,BIOL,133,C,Introductory Molecular Biology,4,J Verdoni,MWF,1000,1050,,NA,NA,Spencer Hall 257,18,17,Available: 1,Non-Lab Science; Open only to freshmen and sophomores,
10726,BIOL,133,D,Introductory Molecular Biology,4,N Berner,MWF,1100,1150,,NA,NA,Spencer Hall 257,18,16,Available: 2,Non-Lab Science; Open only to freshmen and sophomores,
10371,BIOL,203,A,Comparative Vertebrate Anatomy (Lab),4,N Berner,MWF,800,950,,NA,NA,Woods Laboratories 128,16,15,Available: 1,Lab Science; Prerequisites: BIOL 130 or BIOL 131 or BIOL 132,
